preferred_class,budget_usd,preferred_airline,avg_rating_given,trips_per_year,loyalty_tier,prefers_direct,recommended_airline
Economy,3566,PacificAir,2.8,16,Platinum,0,SkyMind
Business,4524,AeroGulf,4.7,26,Gold,1,SkyMind
First,1925,PacificAir,4.4,28,Bronze,1,PacificAir
Economy,3473,EuroWings,2.0,3,Bronze,1,SkyMind
Business,3521,AsiaJet,3.0,20,Bronze,0,SkyMind
Economy,569,SkyMind,3.4,2,Silver,1,EuroWings
First,1853,PacificAir,4.4,16,Gold,1,PacificAir
Economy,1921,AsiaJet,1.4,21,Platinum,1,PacificAir
Business,4847,AsiaJet,4.3,9,Gold,1,SkyMind
Economy,199,EuroWings,1.4,18,Bronze,1,AsiaJet
Economy,1386,AeroGulf,2.8,21,Gold,0,PacificAir
Economy,985,PacificAir,4.4,17,Gold,1,EuroWings
Economy,3093,SkyMind,1.9,4,Gold,0,SkyMind
First,4785,AsiaJet,1.2,21,Bronze,0,SkyMind
Economy,3365,EuroWings,1.2,7,Gold,1,SkyMind
First,4861,AeroGulf,1.8,11,Silver,1,SkyMind
First,1020,EuroWings,3.2,27,Silver,1,PacificAir
Business,818,AsiaJet,4.6,11,Gold,1,EuroWings
Business,604,EuroWings,3.8,29,Silver,0,EuroWings
Economy,4362,SkyMind,4.2,2,Silver,1,SkyMind
Economy,1875,EuroWings,2.0,6,Silver,1,PacificAir
Business,1874,AsiaJet,2.5,20,Silver,1,PacificAir
Business,416,SkyMind,3.1,29,Silver,0,AsiaJet
First,4589,EuroWings,2.5,9,Gold,0,SkyMind
Business,2637,SkyMind,4.0,22,Platinum,0,AeroGulf
Economy,2669,PacificAir,4.9,7,Platinum,0,AeroGulf
First,3420,SkyMind,4.1,21,Gold,0,SkyMind
Business,3513,SkyMind,4.8,29,Silver,0,SkyMind
Economy,4659,SkyMind,4.9,7,Platinum,0,SkyMind
Economy,865,EuroWings,2.3,8,Bronze,0,EuroWings
Economy,4446,EuroWings,3.5,14,Platinum,0,SkyMind
Business,1942,AeroGulf,4.1,28,Bronze,0,PacificAir
Economy,2318,SkyMind,3.5,2,Gold,0,AeroGulf
Business,1729,SkyMind,3.4,24,Silver,0,PacificAir
First,1677,PacificAir,2.5,2,Platinum,0,PacificAir
Business,3742,AsiaJet,3.1,24,Gold,0,SkyMind
Economy,4125,EuroWings,2.4,26,Bronze,1,SkyMind
Business,3530,AeroGulf,1.9,2,Bronze,0,SkyMind
First,1406,PacificAir,2.5,20,Bronze,1,PacificAir
Economy,4385,AeroGulf,2.6,7,Silver,0,SkyMind
Economy,2535,PacificAir,1.6,25,Silver,0,AeroGulf
Business,2643,EuroWings,3.0,13,Gold,0,AeroGulf
Business,3887,AsiaJet,3.5,23,Silver,1,SkyMind
First,1687,SkyMind,1.4,8,Gold,0,PacificAir
First,2788,EuroWings,3.1,3,Silver,1,AeroGulf
Economy,1651,PacificAir,1.4,18,Platinum,0,PacificAir
Business,3385,EuroWings,4.4,4,Platinum,1,SkyMind
Economy,3728,AeroGulf,2.6,5,Bronze,1,SkyMind
First,1607,EuroWings,2.0,2,Bronze,1,PacificAir
Economy,4217,AsiaJet,2.5,22,Bronze,1,SkyMind
Economy,4062,PacificAir,3.6,2,Silver,1,SkyMind
Business,2278,EuroWings,2.9,23,Bronze,1,AeroGulf
Economy,2697,PacificAir,3.4,14,Silver,0,AeroGulf
Business,4761,SkyMind,3.4,7,Gold,1,SkyMind
Economy,2059,AsiaJet,3.8,14,Silver,1,AeroGulf
First,2336,PacificAir,4.7,21,Platinum,0,AeroGulf
Business,1790,SkyMind,3.6,16,Bronze,0,PacificAir
First,3448,AsiaJet,1.7,8,Platinum,1,SkyMind
Economy,3561,AeroGulf,2.8,28,Silver,1,SkyMind
Business,1728,PacificAir,1.8,2,Silver,0,PacificAir
Economy,3035,PacificAir,1.5,24,Platinum,0,SkyMind
Economy,3683,AsiaJet,4.0,25,Platinum,1,SkyMind
Business,2034,SkyMind,1.6,21,Platinum,1,AeroGulf
First,2758,AeroGulf,4.1,5,Platinum,1,AeroGulf
Economy,3093,PacificAir,3.1,20,Silver,1,SkyMind
First,1982,EuroWings,2.7,20,Gold,0,PacificAir
Business,4335,AeroGulf,4.5,16,Platinum,1,SkyMind
First,4305,EuroWings,4.6,10,Bronze,1,SkyMind
Business,3468,AsiaJet,1.9,15,Silver,1,SkyMind
Economy,1302,PacificAir,4.2,29,Gold,0,PacificAir
First,4293,SkyMind,3.4,5,Platinum,0,SkyMind
First,2867,PacificAir,3.0,5,Bronze,1,AeroGulf
Business,2503,EuroWings,2.0,5,Platinum,0,AeroGulf
