airport,hour_of_day,day_of_week,month,flights_per_hour,gate_utilization_pct,runway_utilization_pct,avg_taxi_time_min,weather_score,congestion_level
BOM,7,4,4,51,25,80,32,0.95,medium
DXB,22,5,8,40,35,38,39,0.43,medium
LHR,1,1,2,52,41,43,19,0.82,medium
FRA,9,5,3,75,56,55,49,0.22,high
NRT,18,5,9,10,37,98,16,0.74,medium
LHR,5,1,7,18,69,58,52,0.59,medium
LAX,7,0,5,72,34,77,48,0.37,high
SYD,14,4,7,77,54,49,52,0.53,high
LAX,14,4,6,57,92,58,44,0.63,high
LHR,0,0,1,21,70,47,43,0.96,medium
SYD,6,0,12,31,65,44,11,0.72,medium
DXB,14,2,4,16,58,59,53,0.46,medium
SIN,17,6,7,45,68,75,38,0.3,high
SIN,18,5,10,75,72,54,7,0.2,high
LHR,9,4,4,74,94,65,56,0.82,high
LHR,19,1,5,75,81,56,59,0.86,high
SYD,22,2,7,44,49,28,37,0.86,medium
LAX,3,0,1,53,82,95,48,0.15,high
SIN,20,3,5,42,65,81,36,0.55,medium
LAX,18,4,4,70,51,53,8,0.71,high
JFK,14,5,9,48,55,27,30,0.65,medium
FRA,3,1,6,60,87,96,45,0.25,high
NRT,23,4,1,75,42,95,44,0.84,high
LAX,13,4,5,74,60,73,43,0.07,high
FRA,21,3,12,62,46,97,46,0.82,high
DXB,2,3,6,63,78,32,21,0.43,medium
LAX,3,0,3,75,65,57,7,0.54,high
LAX,5,2,9,29,64,66,53,0.04,medium
JFK,5,3,12,8,99,28,36,0.98,medium
FRA,9,2,4,29,72,54,47,0.65,medium
LHR,1,6,3,73,40,87,19,0.86,high
BOM,18,2,2,15,73,61,54,0.33,medium
SIN,5,4,5,32,92,76,54,0.09,high
SYD,1,4,11,56,26,74,6,0.11,medium
SIN,9,4,1,76,37,73,35,0.92,high
FRA,3,5,7,37,45,53,21,0.63,medium
SIN,11,2,4,46,80,68,27,0.23,high
SYD,16,2,6,35,65,38,26,0.63,medium
LHR,1,1,8,12,50,32,19,0.74,low
LAX,16,1,2,8,78,74,36,0.8,medium
DXB,17,5,5,23,34,64,38,0.03,medium
DXB,7,0,6,51,85,42,8,0.79,medium
LAX,20,3,1,23,83,48,33,0.64,medium
CDG,23,2,5,79,91,84,26,0.7,high
SYD,8,1,12,74,26,48,29,0.57,medium
SYD,11,1,3,11,30,57,18,0.92,low
FRA,16,5,4,75,84,48,59,0.54,high
BOM,8,3,10,74,28,88,59,0.29,high
BOM,5,0,1,77,39,83,54,0.86,high
SYD,22,5,2,71,71,24,36,0.85,medium
CDG,2,3,4,15,33,34,14,0.86,low
NRT,2,6,11,71,27,55,29,0.43,medium
SIN,9,6,4,76,71,44,28,0.33,high
BOM,2,2,11,45,80,21,22,0.35,medium
BOM,19,0,4,39,31,97,21,0.82,medium
LHR,6,1,11,14,43,40,33,0.15,low
LHR,3,1,3,14,90,43,44,0.91,medium
LAX,10,0,1,9,26,82,55,0.7,low
DXB,23,2,2,25,65,76,40,0.88,medium
DXB,23,2,5,9,63,95,13,0.58,medium
NRT,14,4,8,16,40,30,47,0.88,low
DXB,13,6,1,16,93,98,24,0.64,high
DXB,18,4,3,48,27,59,27,0.63,medium
LHR,14,2,4,72,63,69,49,0.68,high
CDG,4,1,6,48,79,51,15,0.29,medium
LHR,6,0,4,47,65,71,53,0.35,medium
BOM,7,4,1,41,50,93,30,0.87,medium
CDG,13,4,8,75,35,27,51,0.66,medium
CDG,6,1,7,38,29,45,19,0.3,medium
CDG,14,3,7,42,22,72,12,0.64,medium
CDG,22,3,9,37,84,98,38,0.92,high
NRT,17,0,10,73,89,71,46,0.62,high
BOM,13,0,10,28,80,28,30,0.77,medium
LHR,15,5,10,47,42,86,27,0.19,medium
LHR,17,2,5,68,89,43,7,0.18,high
LHR,20,5,8,17,53,52,8,0.1,low
CDG,18,2,4,62,42,99,47,0.66,high
BOM,3,2,10,36,46,61,9,0.59,medium
CDG,4,1,7,36,26,63,32,0.01,medium
BOM,11,3,1,67,23,21,10,0.19,medium
DXB,20,3,12,76,20,35,58,0.81,medium
NRT,12,0,2,20,92,61,53,0.57,medium
NRT,6,6,12,71,44,23,54,0.21,medium
DXB,21,4,12,34,94,44,41,0.27,medium
NRT,2,5,11,66,21,45,33,0.24,medium
CDG,9,2,12,7,34,80,5,0.84,low
JFK,13,5,11,45,82,65,43,0.2,high
JFK,17,5,8,19,29,53,20,0.06,low
SYD,2,6,4,66,47,74,31,0.88,high
DXB,12,1,6,27,29,38,27,0.42,low
NRT,9,5,12,38,51,97,47,0.07,medium
LHR,23,0,3,29,30,42,7,0.36,low
LHR,19,6,2,36,73,95,13,0.46,high
LAX,8,1,10,58,34,55,58,0.62,medium
SYD,18,0,10,58,57,41,30,0.16,medium
DXB,20,0,11,28,52,43,47,0.7,medium
SYD,17,4,4,43,29,73,28,0.05,medium
BOM,19,3,9,17,54,84,48,0.19,medium
SYD,4,6,4,46,52,34,21,0.13,medium
JFK,20,4,1,53,55,69,7,0.49,medium
BOM,4,1,4,14,55,34,44,0.42,low
LHR,9,5,7,49,51,93,47,0.79,high
NRT,5,5,3,46,50,47,17,0.35,medium
JFK,8,5,6,73,39,61,14,0.83,high
CDG,4,1,4,59,77,94,44,0.86,high
DXB,15,0,6,44,48,96,54,0.95,high
FRA,0,3,10,67,53,46,11,1.0,medium
LAX,1,5,12,41,57,67,24,0.65,medium
SYD,5,3,7,42,73,54,6,0.75,medium
JFK,21,4,11,20,34,78,55,0.65,medium
LHR,8,6,1,75,49,49,23,0.45,high
BOM,11,4,10,29,21,32,53,0.09,low
NRT,9,1,9,73,93,43,31,0.54,high
NRT,9,0,8,26,26,42,37,0.19,low
DXB,1,1,3,34,21,92,31,0.45,medium
DXB,1,1,3,64,70,49,12,0.16,high
LAX,1,4,7,56,30,89,45,0.03,medium
DXB,10,2,9,51,97,51,46,0.73,high
BOM,4,6,3,61,85,89,12,0.88,high
SYD,14,2,3,49,52,75,57,0.68,medium
BOM,3,5,1,56,61,39,47,0.52,medium
