weather_score,aircraft_age_years,crew_availability,atc_restrictions,season,route_distance_km,airline,prev_cancellations,is_international,cancelled
0.49,12,0.56,0,spring,10645,AeroGulf,0,0,1
0.69,1,0.78,0,autumn,2387,AsiaJet,4,1,0
0.14,6,0.69,0,winter,10434,AeroGulf,4,1,1
0.86,17,1.0,0,autumn,12930,AsiaJet,0,1,0
0.02,8,0.8,1,summer,9651,EuroWings,3,1,0
0.17,5,0.84,0,summer,4036,AsiaJet,1,1,0
0.48,3,0.57,0,spring,1821,AsiaJet,1,1,1
0.25,15,1.0,1,spring,3473,AsiaJet,1,0,0
0.37,24,0.53,0,spring,11776,AeroGulf,9,1,0
0.33,8,0.54,1,winter,9273,AsiaJet,0,0,0
0.27,3,0.54,0,winter,1298,PacificAir,8,0,0
0.38,16,0.94,1,autumn,4487,PacificAir,5,0,0
0.51,7,0.86,0,spring,12163,EuroWings,6,0,0
0.48,17,0.99,1,autumn,7943,SkyMind,5,1,1
0.81,19,0.53,0,summer,6453,AsiaJet,3,1,0
0.31,23,0.85,1,autumn,3203,AsiaJet,9,1,0
0.28,3,0.77,1,summer,1713,AeroGulf,1,0,1
0.5,7,0.82,0,summer,966,SkyMind,4,0,0
0.05,19,0.76,1,summer,9968,SkyMind,2,1,0
0.11,3,0.84,0,autumn,7834,AsiaJet,0,1,0
0.8,18,0.95,1,summer,11170,AsiaJet,1,0,0
0.49,21,0.79,1,autumn,13398,AsiaJet,7,0,1
0.07,17,0.95,1,autumn,8468,SkyMind,6,0,1
0.44,11,0.89,0,summer,2233,PacificAir,6,0,0
0.4,12,0.93,0,winter,6634,AeroGulf,8,0,0
0.25,14,0.83,1,winter,13163,PacificAir,9,1,1
0.37,4,0.76,0,summer,10643,AsiaJet,1,1,0
0.19,12,0.53,1,autumn,4278,SkyMind,1,0,0
0.45,12,0.92,0,summer,10791,PacificAir,9,1,0
0.41,20,0.62,0,spring,11611,SkyMind,5,0,0
0.61,10,0.52,0,winter,9485,AsiaJet,1,1,1
0.94,3,0.76,0,summer,6178,PacificAir,7,0,0
0.19,5,0.82,0,winter,1914,SkyMind,8,0,1
0.42,20,0.83,0,summer,13658,EuroWings,5,1,1
0.56,8,0.83,0,spring,7649,PacificAir,5,0,1
0.55,11,0.83,0,winter,1427,AeroGulf,4,0,0
0.66,15,0.9,0,autumn,13912,SkyMind,9,0,1
0.27,24,0.88,0,summer,11630,AsiaJet,6,1,0
0.63,10,0.91,0,spring,3831,AsiaJet,5,1,1
0.2,1,0.73,0,spring,10436,PacificAir,8,1,0
0.13,24,0.53,0,winter,9881,AsiaJet,5,1,0
0.83,11,0.82,0,autumn,10476,EuroWings,0,1,0
0.47,13,0.61,1,autumn,11744,AeroGulf,3,0,0
0.4,9,0.93,1,autumn,2885,PacificAir,6,0,1
0.93,4,0.86,1,spring,12484,PacificAir,2,1,0
0.71,24,0.88,0,autumn,12125,AsiaJet,5,0,0
0.68,15,0.64,1,summer,10600,SkyMind,3,0,0
0.19,2,0.82,0,summer,8551,AsiaJet,4,1,0
0.21,9,0.76,1,summer,6785,SkyMind,7,1,1
0.48,22,0.63,0,winter,5671,AsiaJet,5,1,0
0.65,9,0.91,1,winter,10372,SkyMind,1,1,0
0.4,11,0.77,0,spring,1171,SkyMind,2,0,0
0.06,24,0.6,1,autumn,5915,EuroWings,0,1,1
0.68,20,0.65,1,spring,8036,EuroWings,8,1,1
0.77,11,0.61,1,spring,8680,EuroWings,9,1,0
0.94,7,0.66,1,autumn,8850,AsiaJet,5,1,1
0.41,15,0.59,1,summer,4185,AeroGulf,9,1,1
0.26,3,0.69,0,spring,11546,EuroWings,8,0,1
0.93,17,0.85,0,autumn,910,PacificAir,2,0,1
0.72,4,0.98,1,summer,11944,AeroGulf,4,1,0
0.06,20,0.61,1,autumn,7532,PacificAir,4,0,0
0.58,5,0.65,0,autumn,10052,EuroWings,4,1,0
0.03,20,0.5,1,summer,5073,PacificAir,8,1,0
0.23,9,0.61,0,summer,4314,AsiaJet,1,0,0
0.07,21,0.71,1,winter,13433,PacificAir,5,1,1
0.2,5,0.73,1,spring,12204,AeroGulf,7,1,1
0.49,14,0.63,1,winter,1214,EuroWings,9,1,1
0.3,24,0.58,1,spring,3449,PacificAir,9,1,0
0.09,23,0.78,1,summer,2769,PacificAir,3,0,0
0.48,12,0.7,0,autumn,581,PacificAir,0,1,1
0.71,18,0.71,1,summer,1308,PacificAir,4,1,1
0.05,17,0.95,1,summer,4983,AeroGulf,4,1,0
0.88,17,0.78,1,summer,2003,SkyMind,3,0,1
0.65,17,0.69,0,spring,13308,AsiaJet,1,1,1
0.52,6,0.63,1,autumn,8758,EuroWings,6,1,0
0.4,21,0.71,1,winter,10254,SkyMind,6,1,0
0.39,22,0.93,1,spring,6966,AsiaJet,2,1,0
0.34,14,0.98,1,spring,8737,PacificAir,9,1,0
0.12,10,0.69,0,summer,5070,SkyMind,5,1,0
0.08,10,0.6,1,summer,4264,AsiaJet,1,1,0
0.31,12,0.96,0,spring,5803,AsiaJet,0,1,0
0.67,5,0.57,1,winter,9900,SkyMind,8,0,0
0.29,13,0.65,1,summer,10711,PacificAir,9,0,1
0.81,23,0.6,0,autumn,11200,PacificAir,0,0,0
0.38,21,0.78,1,spring,4465,EuroWings,9,0,0
0.63,1,0.7,0,summer,9315,AsiaJet,4,0,0
