aircraft_type,distance_km,passengers,fuel_kg,load_factor_pct,engine_type,co2_kg
A320,7696,352,21118,67,CFM56,67718
B777,3418,335,44943,76,PW1100,142242
A380,5645,281,31986,70,CFM56,100920
B737,8630,350,41312,64,GE90,129191
A380,13257,76,57326,75,PW1100,181038
B787,7812,60,32515,51,PW1100,103661
B777,12548,195,13311,89,CFM56,42046
B737,8983,464,73833,98,GE90,233047
B787,10724,368,79915,69,CFM56,252723
A320,7362,493,15282,97,CFM56,48464
B787,4988,119,77360,95,Trent1000,244055
A380,12792,461,72847,64,PW1100,229596
A350,11887,100,21313,76,GE90,68602
B787,9193,51,18120,96,Trent1000,57669
B737,8698,85,42824,98,CFM56,134849
A320,9781,442,50529,89,PW1100,160101
A380,10476,376,64920,96,Trent1000,205589
A380,8713,328,30621,98,CFM56,96445
A320,9227,485,22867,81,Trent1000,72206
A350,6623,286,41110,69,GE90,129772
A320,2036,339,14581,67,Trent1000,46307
A350,7205,497,47535,78,Trent1000,149370
A380,7755,488,16259,60,CFM56,51659
A320,4670,156,23408,90,CFM56,74145
B737,7825,495,26733,65,CFM56,84918
A380,11899,112,70266,99,CFM56,223061
A380,2681,345,74124,57,CFM56,234099
B777,6696,430,43518,61,CFM56,137630
B787,11176,335,5464,88,PW1100,17255
B737,7650,132,36449,86,Trent1000,115277
A380,5982,236,48450,58,PW1100,153561
A320,9083,475,26568,51,GE90,83300
B737,6323,348,59010,70,CFM56,185461
A350,8276,133,36781,75,CFM56,115779
B777,10796,184,7029,53,CFM56,22836
B737,11613,148,35416,59,CFM56,111926
A320,3163,148,62760,98,PW1100,199047
B737,4263,307,14286,78,Trent1000,45270
A380,588,307,69274,62,GE90,218859
A350,10922,135,60222,80,CFM56,190193
B787,6323,378,68715,80,GE90,216676
A380,4342,84,38966,86,GE90,123238
A350,1194,276,41989,86,GE90,133768
B787,5697,120,48502,82,PW1100,153554
A320,9051,453,56828,89,CFM56,179256
B787,12345,143,15029,52,GE90,46829
A380,6390,485,74159,91,PW1100,235148
A380,8296,63,5155,54,GE90,17766
A380,9571,197,71417,69,Trent1000,226124
B787,13105,333,37064,89,CFM56,117147
B777,5787,452,43898,72,CFM56,139598
A320,5213,134,42342,89,Trent1000,134461
B787,3689,209,78589,68,PW1100,248653
A350,7481,295,13980,90,CFM56,44349
A320,4212,255,22993,90,GE90,73274
B787,5259,153,34715,77,Trent1000,108980
B737,12448,223,69346,66,Trent1000,218150
B737,12723,187,19979,55,Trent1000,63281
A350,11699,278,27675,86,Trent1000,87780
A380,11927,60,63104,67,PW1100,198989
A350,2889,183,39001,89,GE90,122949
A320,6036,89,11052,79,PW1100,35259
A350,565,116,36036,54,Trent1000,114197
B777,4632,309,30765,74,CFM56,97272
B737,12607,95,74421,55,Trent1000,235753
B777,13464,404,38993,78,GE90,123204
B787,12779,213,29911,82,Trent1000,94917
B737,9117,206,18572,79,Trent1000,58046
B787,12041,127,30301,51,CFM56,95405
A380,9465,277,20143,75,GE90,63496
A380,739,155,29037,91,PW1100,91589
A350,13906,116,6619,92,GE90,20641
A350,10874,54,20795,84,Trent1000,65824
B737,11353,75,22852,75,GE90,71402
B787,12914,119,64171,65,Trent1000,202752
B787,11039,186,15175,72,PW1100,47996
B787,1609,256,62564,59,CFM56,197786
A320,7099,432,13170,68,CFM56,41692
A380,9004,350,11173,52,PW1100,35325
A320,11857,260,18375,62,PW1100,57762
B737,9093,336,65512,95,GE90,207390
B737,4570,155,21336,75,Trent1000,67727
A320,791,412,62558,97,CFM56,197943
B787,11587,189,48248,78,CFM56,152090
A320,5930,167,75144,50,CFM56,238345
B737,13964,313,72468,78,CFM56,228087
A350,2578,64,76999,93,PW1100,242897
B777,8962,164,52279,70,GE90,165013
A320,13596,372,69940,96,Trent1000,222037
B787,6866,159,28367,69,Trent1000,90086
B787,5466,251,27652,75,PW1100,87322
B737,1320,419,5581,74,Trent1000,18467
A320,3224,71,54675,90,PW1100,171983
A350,12156,119,27348,65,CFM56,86228
A380,12548,416,48773,96,GE90,154358
A380,1580,293,46854,52,PW1100,148215
B777,10633,124,47254,79,CFM56,148654
A320,8153,362,24332,57,GE90,76661
B777,2060,133,11709,51,CFM56,37960
A320,3494,113,74331,91,Trent1000,234611
B777,8813,247,44595,68,Trent1000,141462
A380,2562,202,8962,91,GE90,28386
B787,10463,146,18868,51,Trent1000,60267
B737,10674,216,24446,81,Trent1000,77276
A380,5419,282,40888,77,PW1100,127981
A380,5133,50,45002,84,Trent1000,142586
B787,11036,217,44670,98,Trent1000,140773
A320,12797,496,7860,67,GE90,24572
A380,6416,254,5133,99,GE90,15652
A380,1824,55,11083,68,PW1100,34334
B787,12916,355,5621,95,PW1100,17296
A320,7969,206,73922,57,CFM56,233657
A380,2284,341,29413,59,GE90,93088
A320,3103,448,72921,55,CFM56,231058
A380,13341,268,47539,93,Trent1000,150607
A380,6638,495,68493,59,GE90,216588
A320,10024,86,29720,66,PW1100,94544
A350,3761,394,73588,90,GE90,232295
B787,2032,140,33666,59,Trent1000,106537
B787,2460,105,33715,93,Trent1000,107199
B737,3756,208,59613,72,GE90,188366
A350,8991,341,64010,53,PW1100,201837
B737,5111,149,42131,55,GE90,133235
A380,4619,352,37112,60,GE90,116243
B737,8956,119,22836,57,CFM56,72876
B777,1002,347,27502,85,GE90,88011
B777,13081,361,33581,61,GE90,106473
B777,13297,357,30079,62,GE90,94969
B777,7568,442,47279,81,CFM56,149129
A350,2967,59,19120,90,PW1100,60269
B777,6552,282,28935,50,Trent1000,91081
B787,8309,265,40135,62,GE90,127664
B777,2256,375,27151,64,CFM56,84321
B737,8849,441,45464,91,CFM56,143611
B777,2356,55,52409,89,Trent1000,165830
B787,13510,76,30117,65,Trent1000,94990
A380,7115,223,73754,66,GE90,232757
B737,7380,260,62906,55,CFM56,198936
A320,13353,123,30438,70,GE90,95937
B777,13898,385,53044,80,CFM56,168136
A380,3311,220,15402,62,Trent1000,48452
A350,5638,201,25271,69,GE90,79724
B777,893,312,56491,73,Trent1000,178404
A320,664,186,42795,61,Trent1000,135783
A380,12117,454,61006,74,Trent1000,192392
A350,2054,303,54467,72,CFM56,171801
A320,12561,462,35777,60,CFM56,113786
A350,13233,145,60258,60,PW1100,191558
B737,12176,357,27602,68,PW1100,86875
B787,1667,175,7725,81,Trent1000,24844
A320,1820,172,53042,91,CFM56,166752
B737,2470,189,77310,82,Trent1000,245395
A320,6997,83,55857,66,CFM56,176934
B787,9197,94,39867,80,PW1100,126148
A320,12458,496,54193,93,PW1100,170776
B787,3463,435,47449,53,CFM56,150161
B787,13151,333,42728,70,Trent1000,134830
B737,2779,281,38867,62,GE90,122770
A380,2573,389,42036,56,CFM56,132583
A320,845,487,71313,61,Trent1000,225528
A380,4293,153,33949,58,CFM56,107639
A350,11560,484,11455,78,CFM56,36121
B787,10414,178,24077,58,PW1100,76662
A320,10167,402,29125,92,GE90,90910
A380,12593,319,47681,78,Trent1000,151279
B737,11327,152,35014,95,PW1100,109929
B777,799,245,24338,63,PW1100,77560
B777,1387,96,60906,89,GE90,192401
B787,8305,225,41389,69,PW1100,130763
B787,6224,450,56098,89,Trent1000,177882
B737,5993,79,42055,59,GE90,132225
B787,7580,142,35587,65,PW1100,112806
B737,582,336,26582,86,GE90,84892
B777,8781,493,17508,51,PW1100,55973
B737,5589,58,42650,56,GE90,134586
B787,903,311,30940,50,PW1100,98092
B737,3742,151,32776,55,CFM56,104210
B787,592,148,47705,95,GE90,150483
A350,10152,495,34805,98,CFM56,110121
B777,7312,491,30786,83,Trent1000,97547
B737,1654,283,24954,51,GE90,79170
A320,1005,323,69504,80,PW1100,219147
A380,7058,70,63786,69,CFM56,201248
B787,5266,60,25335,84,CFM56,80092
A380,13781,239,77820,50,PW1100,246958
B787,11378,439,22592,96,Trent1000,72225
B737,3214,383,25166,56,Trent1000,79548
B777,12803,399,18215,83,GE90,57651
B737,5716,421,72682,97,PW1100,228792
A380,1734,162,40285,60,Trent1000,127577
B777,12315,316,14897,84,Trent1000,46615
B787,9557,276,39668,84,GE90,125585
B777,10538,361,6649,65,Trent1000,21704
A350,2013,57,9622,99,CFM56,30533
B737,3696,260,48546,87,PW1100,152835
B737,7943,355,10524,68,Trent1000,34157
B777,13375,189,77302,60,CFM56,244697
B737,3905,92,25107,79,Trent1000,80248
B737,8699,241,52780,84,CFM56,166731
A380,6993,170,48166,83,Trent1000,152542
A320,2547,229,65612,75,PW1100,207386
B737,7284,477,10464,61,CFM56,33389
A380,10663,412,70610,66,PW1100,222625
B787,10241,345,15964,93,Trent1000,50207
B777,8663,323,20321,73,GE90,64205
A380,831,160,75721,82,CFM56,238936
A350,5863,77,44532,69,CFM56,140651
A380,10301,356,33947,86,PW1100,107619
B777,10522,105,58362,93,Trent1000,184788
B777,7898,406,46088,94,CFM56,145068
B787,1104,276,12175,67,PW1100,37931
B787,4429,72,21681,90,GE90,69362
B787,7132,60,44920,64,PW1100,141892
B777,11565,419,71477,94,Trent1000,225643
B777,2096,170,78907,83,CFM56,250242
B787,10924,474,76597,95,GE90,242303
B777,1978,274,5525,73,CFM56,17331
A320,3492,473,7638,67,PW1100,24604
B737,7623,114,47115,91,CFM56,148940
B787,13844,396,29546,77,GE90,93712
B737,9504,437,59517,64,GE90,187838
A320,11892,226,10340,54,PW1100,32592
B737,7079,442,69777,79,Trent1000,220850
B737,10889,148,56113,74,GE90,177309
A380,828,310,64884,54,GE90,205152
B737,1825,76,30762,76,GE90,96975
A380,10515,239,70907,86,CFM56,224964
B787,10129,312,40827,65,CFM56,128922
A320,10963,339,15554,81,CFM56,48519
A380,9349,276,50816,87,Trent1000,161624
A380,855,371,74649,77,CFM56,236475
A350,5973,388,38581,53,Trent1000,121799
