departure_hour,day_of_week,month,origin,destination,aircraft_type,airline,weather_score,atc_delay,prev_flight_delay,distance_km,delay_minutes
22,4,9,SIN,NRT,A320,PacificAir,0.37,18,14,1022,52
4,4,12,DXB,LAX,B777,EuroWings,0.95,24,88,4945,138
5,4,10,SYD,LHR,A350,AsiaJet,0.73,4,54,6959,64
11,6,3,FRA,DXB,B737,AsiaJet,0.6,7,34,7586,61
10,4,10,CDG,CDG,A320,EuroWings,0.16,6,54,2444,34
15,6,9,JFK,JFK,A350,SkyMind,0.16,13,13,4071,32
19,3,8,NRT,SYD,A350,SkyMind,0.06,23,48,2060,45
16,3,12,JFK,CDG,A320,AsiaJet,0.87,22,82,5247,116
19,4,3,BOM,SYD,A320,PacificAir,0.6,2,6,13422,39
8,6,8,NRT,NRT,B787,AsiaJet,0.71,17,29,7654,84
0,2,12,FRA,DXB,A350,AsiaJet,0.02,15,82,12286,58
2,4,4,FRA,JFK,A320,EuroWings,0.97,22,48,1092,100
20,5,6,CDG,JFK,A380,SkyMind,0.83,18,88,12585,120
22,5,12,LHR,SYD,A380,EuroWings,0.21,18,15,11360,47
8,3,10,BOM,JFK,B737,AsiaJet,0.18,17,50,5827,57
21,5,2,LAX,NRT,B777,AeroGulf,0.18,19,71,12594,67
18,5,8,JFK,SIN,A380,PacificAir,0.3,15,81,1255,68
12,1,9,CDG,SIN,B787,AsiaJet,0.52,7,79,9991,75
22,4,7,CDG,SYD,A320,EuroWings,0.43,27,82,996,102
13,4,8,LHR,DXB,B777,AeroGulf,0.29,0,41,13560,19
19,4,7,FRA,SYD,B787,AeroGulf,0.61,16,16,2921,62
18,4,11,BOM,BOM,A350,AsiaJet,0.14,11,62,2098,47
22,0,10,NRT,JFK,B777,SkyMind,0.29,29,44,12971,80
6,4,4,BOM,JFK,A380,AeroGulf,0.37,20,76,4627,92
3,6,1,BOM,SIN,B787,PacificAir,0.46,10,6,13070,38
11,3,3,JFK,CDG,A320,EuroWings,0.79,4,26,13623,59
22,6,7,NRT,SYD,A320,EuroWings,0.2,26,9,7516,50
13,3,11,SYD,DXB,B787,EuroWings,0.51,11,33,6051,53
1,0,11,NRT,SIN,A350,AsiaJet,0.59,16,35,4090,70
0,4,7,CDG,SYD,A380,EuroWings,0.05,5,24,13473,26
17,2,11,LHR,LHR,B787,EuroWings,0.61,0,5,961,30
19,6,3,BOM,DXB,B737,PacificAir,0.17,4,23,5466,28
7,4,1,NRT,DXB,B787,SkyMind,0.07,24,17,9059,33
2,3,10,CDG,FRA,B787,AsiaJet,0.95,27,86,11397,127
5,6,9,DXB,CDG,A380,AsiaJet,0.97,13,5,12015,77
21,1,12,FRA,NRT,A320,EuroWings,0.81,4,28,665,79
12,5,6,LHR,DXB,A350,PacificAir,0.3,21,24,12378,56
8,1,12,SIN,FRA,B787,AeroGulf,0.1,23,54,12774,44
8,2,7,LAX,JFK,B777,EuroWings,0.68,26,80,11739,95
19,4,1,CDG,SYD,A320,EuroWings,0.44,0,45,2228,44
8,0,1,BOM,LAX,A320,AsiaJet,0.12,29,23,8196,64
14,4,4,LHR,LAX,B787,AsiaJet,0.5,17,74,5197,88
12,2,7,FRA,CDG,A380,EuroWings,0.03,15,25,12361,35
21,2,11,NRT,JFK,B777,AsiaJet,0.91,8,27,11866,86
15,5,11,DXB,DXB,B787,PacificAir,0.26,18,2,2673,39
1,2,8,SIN,JFK,B777,AeroGulf,0.66,21,74,537,107
13,1,10,FRA,FRA,A320,AeroGulf,0.31,4,37,4943,26
5,5,9,DXB,LHR,B777,AeroGulf,0.52,26,60,7986,86
1,4,1,LAX,NRT,B787,EuroWings,0.55,1,77,2521,50
