aircraft_type,distance_km,passengers,cargo_kg,altitude_ft,wind_speed_kmh,temperature_c,engine_age_years,fuel_kg
A350,3432,162,14873,29411,93.9,19.0,11,19908
A350,2312,370,19067,32492,49.1,25.1,16,19640
A380,750,387,15161,39947,57.1,-1.5,10,10453
A320,12245,215,11124,35392,51.4,36.2,8,59156
B737,7149,54,7855,31274,55.4,-0.2,16,36622
A380,10494,111,833,29098,89.2,-4.7,13,47458
A350,11816,268,6941,30039,58.2,46.6,9,55978
A380,2676,214,16307,34061,96.5,20.3,18,19496
B787,3998,103,3900,31785,85.6,0.7,8,21982
A320,7006,281,3020,36526,67.8,21.0,10,35019
A350,4641,78,6237,30938,53.7,7.5,7,23459
B777,7654,360,10530,41340,7.1,45.5,12,41179
B787,12427,481,13313,27595,83.1,14.2,4,66045
B787,12685,383,8631,38608,8.8,18.4,8,62946
B737,7389,257,3081,27831,3.5,15.9,2,36771
A350,5188,486,14901,34886,52.0,12.1,12,31611
B737,6701,484,16664,25044,82.5,9.3,6,39881
B737,12503,446,9102,31747,0.3,12.2,6,64335
A380,11823,197,14995,41751,90.0,22.0,8,59704
B777,10656,339,16118,34213,5.4,27.6,7,57590
B737,5034,440,11145,32913,61.4,28.2,7,30851
A350,6639,392,3569,30016,44.6,-7.2,13,36036
A320,10085,318,5586,26158,48.8,9.4,12,49062
A350,6767,194,1190,33732,59.9,29.5,5,31715
B787,6381,76,11585,33217,73.1,32.2,2,33362
A350,4174,430,19170,35685,61.5,23.0,5,28063
B737,13560,352,10275,41772,29.0,12.2,3,68109
A350,13367,483,13725,39219,59.3,1.4,6,69647
B787,7352,353,19188,27008,98.5,34.0,4,43930
B787,8018,169,15645,34628,46.5,17.4,18,40936
B777,13914,489,15094,36965,6.4,15.7,19,70969
B777,13274,301,14483,39074,98.0,22.4,15,67877
B777,2919,387,2921,37748,11.5,13.6,11,17111
B737,13610,411,2544,39127,7.9,24.7,9,68114
A350,10461,448,10710,36844,9.8,28.0,15,56270
B737,10572,422,1978,29615,67.2,22.9,13,52119
A320,3274,323,7609,29241,4.7,10.3,5,21967
A380,8450,372,6858,36035,90.6,29.7,17,44856
B777,4065,56,7686,30635,85.7,34.3,1,23043
A380,6436,290,13139,25640,38.3,29.9,17,35036
A350,9511,230,4818,29060,50.8,1.9,16,46082
B787,3585,434,18583,26605,46.7,-0.6,13,25689
A350,12315,458,12586,38769,3.4,1.0,12,63740
A380,10348,488,10869,40170,60.6,41.8,11,55451
A320,13263,451,14936,38856,37.4,34.8,4,70145
B737,3107,352,9628,36865,0.4,12.7,12,19537
B777,5468,148,9731,36606,41.9,0.4,8,28870
A320,12881,367,3186,36151,36.7,27.3,1,62854
B777,9093,191,1645,26857,36.2,-7.2,18,42466
B777,1033,463,7841,35384,54.0,-9.6,15,12941
A380,8963,498,15044,28348,43.4,22.5,14,47003
B737,10718,386,11815,39961,56.3,14.1,2,57276
B737,9261,142,17688,26073,90.7,28.4,18,45732
B787,5962,155,11648,36929,36.3,32.6,9,33796
B737,8103,251,9536,27326,52.2,14.3,13,42528
B737,7758,85,17542,34008,56.3,6.4,3,42409
A320,13907,293,2960,40256,70.3,29.8,9,66807
A350,7997,252,15178,38765,23.6,-15.9,13,42518
B787,12641,382,16861,36122,34.0,26.6,16,65585
A350,2146,401,7926,38351,12.8,58.9,11,15857
A320,9980,328,5978,32416,94.8,15.9,2,51466
A320,12366,494,7226,35986,53.2,19.1,15,62104
B787,3593,411,4949,30607,63.6,10.2,5,22356
B787,5024,201,19832,29393,59.0,20.9,6,30546
A350,12728,493,2468,32485,45.2,40.2,6,61956
A320,8736,103,13362,31413,5.3,4.8,13,45765
B777,1190,243,1477,26840,29.1,14.0,2,7503
A320,12947,307,17152,35710,78.0,2.7,4,65430
A320,6850,141,986,33114,26.6,23.7,4,32867
B787,3837,87,18637,35913,97.8,15.1,19,24601
B777,11326,128,5350,38704,60.9,7.1,19,52869
A350,1562,457,2664,40956,75.3,14.6,2,13594
A350,6352,136,16936,40139,49.7,8.5,15,34312
B737,6240,174,15776,26114,28.0,35.5,9,32913
A380,10602,160,12354,38194,77.9,8.1,10,52285
B787,865,313,2843,40985,25.2,27.7,14,7366
A350,1364,297,15858,35049,63.9,8.7,7,15002
A380,9857,388,10427,28971,61.6,45.2,15,52271
B787,4652,157,4540,37004,37.5,27.9,19,23283
B787,9494,485,4181,31279,11.0,21.5,6,47947
B777,5521,105,2821,27367,10.4,17.2,18,26954
B787,7482,136,17712,37061,18.4,5.9,13,40608
B777,3441,253,1487,35480,99.1,40.4,18,18579
B737,4037,235,2190,37180,50.5,16.2,6,20258
A350,9487,416,19668,35531,79.8,8.8,17,54660
B787,3573,323,13995,29254,45.8,33.9,10,23966
A380,5965,315,3072,28752,74.9,33.7,13,32388
B737,11941,389,2829,37152,81.0,-1.6,18,58925
A320,2789,464,1444,34986,93.8,-0.5,13,17612
B777,7226,334,6622,41683,93.3,1.7,14,37885
A350,8683,86,6430,29102,18.3,36.4,7,42574
B777,11421,255,7512,26858,37.5,12.3,18,56539
B777,2509,171,7843,40334,92.3,17.2,12,16215
B777,7489,121,12738,36639,4.2,5.9,13,36887
B777,1623,454,2207,31961,17.2,40.0,8,11795
B787,6435,89,14671,29437,66.2,1.9,12,33133
B787,12732,402,17596,38979,70.5,34.0,4,66777
A350,9689,378,4900,41865,91.6,2.4,12,50173
B777,2463,394,4428,41046,36.2,37.0,10,17171
A380,6972,343,17732,33215,29.6,29.8,4,38743
B737,6052,357,8617,31706,32.9,-5.1,1,34902
A350,12565,70,8711,25758,88.3,17.1,13,59128
A320,6895,294,15606,30610,22.6,8.2,18,38872
A350,9486,225,6922,34227,14.1,27.4,4,46595
B787,10584,155,19412,32667,14.3,18.2,7,54857
B737,4872,50,867,39538,23.6,30.7,3,22378
A350,9011,359,12197,34316,84.9,69.3,18,48051
B737,6055,126,15849,30971,43.4,18.9,8,31631
A320,7216,133,12212,37057,98.3,48.9,3,35821
B737,663,187,11246,33556,95.5,12.0,6,9059
B787,9738,210,15402,39674,73.4,22.3,2,51887
B737,11608,133,17754,27605,49.8,3.5,17,58137
A320,5710,450,6670,32228,25.3,10.3,8,32332
B737,3387,484,8985,28583,89.9,20.6,7,23779
B737,5236,201,1188,27861,79.8,25.3,4,25225
A350,5494,425,15076,26123,42.7,23.4,16,34892
A320,12252,367,6277,32770,5.5,17.2,14,61657
B777,822,216,7531,25449,54.7,11.5,9,7689
B737,13885,433,8502,25885,57.8,6.6,5,69335
B787,9658,212,12110,34087,92.2,11.9,9,50521
A320,8477,483,6886,39006,71.6,16.5,18,43487
B777,6639,289,15663,29538,98.2,7.2,7,36246
A320,3803,177,5521,40981,41.9,-18.0,12,21675
B787,1295,484,18172,29650,42.5,7.7,3,14736
A380,5416,383,1772,39029,28.4,25.4,6,28633
B777,12407,436,18463,30420,37.0,-26.7,11,66037
B777,9882,408,3232,26313,32.0,29.4,8,48787
A320,9797,114,17651,31581,39.9,1.7,11,49153
A350,13379,345,11057,40119,39.5,14.4,9,68111
B787,13702,306,8903,26641,23.3,0.9,2,65916
B787,13348,194,11711,25913,87.9,25.9,13,65455
B737,10177,345,4413,41479,31.5,7.2,13,50784
B737,685,494,12919,35097,88.6,20.5,9,13976
A380,9525,96,18005,31897,55.8,-3.7,1,48770
A320,4491,391,18465,29321,9.7,46.0,11,30213
A350,13603,470,14310,35343,63.5,5.0,8,70906
A380,1337,428,18230,40434,16.5,0.8,15,15770
A380,7962,396,1908,37442,86.2,13.2,2,40614
A380,1136,321,8529,38312,64.5,38.1,19,10855
B737,6889,245,13914,39381,87.3,25.3,2,37678
B737,13961,281,13709,26529,99.1,10.4,3,71239
B737,732,82,1349,29570,9.2,8.4,2,5000
A380,2926,257,5130,36098,92.5,3.9,12,16157
A320,3870,335,9730,25738,39.1,11.6,12,23709
B737,8869,375,19355,31823,78.4,14.7,11,48765
B737,884,234,14604,33913,24.8,21.4,11,10540
A380,6711,73,4834,25621,94.4,28.0,4,31488
A320,10916,212,19010,32816,32.6,23.3,13,56545
A380,8257,132,18705,37741,27.4,18.1,6,43655
B737,4637,235,8616,39320,34.3,22.6,15,25965
B737,1419,461,14501,41546,75.5,23.4,11,14489
A380,6589,191,11717,28155,62.0,23.6,9,34393
B777,3499,277,3267,41748,97.3,24.4,15,19455
A380,6190,255,19167,29386,14.9,13.7,11,36388
B777,4059,174,2550,28234,24.4,-0.6,5,21238
A320,5776,143,1425,31679,30.6,23.1,15,27880
A350,7898,470,19188,41085,97.7,20.5,10,45833
A320,7827,423,10440,27867,25.0,32.7,11,42689
A350,2061,478,8256,25485,41.9,13.4,4,15543
A350,2923,227,10893,41911,87.1,43.7,13,19155
A320,1355,130,16565,35999,7.0,34.6,19,11821
A320,3271,304,18460,35033,21.4,32.2,13,24148
A320,3367,162,17381,31033,57.3,2.4,5,22086
A350,12981,387,11698,30121,62.3,30.7,17,64437
B787,7664,177,19180,38306,87.6,5.4,18,40199
B777,1508,466,15984,40113,75.8,19.7,6,16084
B777,9890,336,1002,32766,75.7,26.8,5,47651
B787,7806,395,12621,25480,20.3,4.1,6,44485
B787,6000,157,13481,38848,63.2,15.3,2,33500
A380,9425,393,1561,25465,16.0,35.0,17,45280
A350,10333,146,6390,30270,52.2,51.3,17,50124
A320,3517,162,5994,34286,69.2,14.0,5,18308
B787,1758,122,4436,26271,77.3,31.2,3,11117
A350,7748,410,4787,41713,57.6,31.9,5,41481
A320,10651,272,3647,35568,59.6,-13.2,17,49852
A380,3404,423,303,31816,37.7,27.2,14,19903
B737,656,265,2956,40347,86.5,10.9,1,5000
B787,11258,247,12116,40667,46.4,-0.2,10,55048
A350,11299,492,7653,28077,86.5,37.4,10,58824
A350,4997,258,937,28559,85.4,26.0,1,25250
A320,2332,254,8532,41131,55.7,50.6,18,15450
B737,7174,246,2734,33792,39.7,31.4,15,37122
B777,7591,185,13415,41425,88.0,18.4,9,39762
A380,2305,266,16580,41294,37.7,11.7,14,17217
B777,10185,364,18203,32090,54.6,-3.0,18,54427
A350,3190,202,7618,31028,24.3,36.8,5,19066
A350,10666,338,2340,27947,52.8,31.6,14,51019
B787,3406,380,19313,38921,42.2,24.0,16,24668
A350,12390,448,13213,25104,21.8,39.0,8,65163
A380,9544,190,12293,33564,79.6,18.7,5,46939
B777,6627,102,16176,35265,86.1,13.2,4,34052
B787,8738,464,15005,40002,88.4,20.7,4,48123
A350,7784,135,14801,40924,54.6,24.9,15,41497
B737,7803,237,4659,41017,36.8,42.5,18,40362
A380,7839,200,18872,29242,27.2,5.9,1,42145
A380,6440,179,5797,28110,20.3,13.4,6,32033
A350,3406,350,18991,29202,94.0,3.4,19,24761
B787,7461,276,10537,41207,56.1,9.4,14,39857
A380,12430,247,14952,32462,45.4,20.0,16,62202
B787,11152,188,4189,41814,47.9,38.3,11,53921
B737,3784,488,11487,33732,40.7,17.3,18,24798
A380,3126,183,1589,31402,82.3,7.0,4,16240
B787,5509,204,5875,26779,2.0,20.7,13,28047
A350,3598,223,19411,32221,61.7,17.1,9,24757
B777,5037,96,10139,27575,83.2,20.4,11,27860
B737,13176,319,5900,26572,7.5,44.0,13,64167
B737,10406,246,8967,32549,15.2,14.3,5,51274
A380,1201,56,14802,40298,7.5,16.6,7,11640
A320,8291,128,107,40398,0.7,16.4,7,37053
A380,12541,156,5650,31746,70.8,4.3,5,60882
A350,6705,69,12388,38271,7.0,36.3,13,35432
A320,1429,330,7744,33263,23.1,42.2,3,11724
A350,1090,143,670,27942,99.2,44.8,14,5149
A380,2363,350,2618,29247,51.7,-11.3,8,13923
A320,7233,226,7140,39395,13.0,14.4,2,37491
B777,8774,123,11182,41288,15.1,5.6,2,43584
A350,6469,119,12565,33843,8.2,19.7,4,34438
B787,5493,226,5329,40756,8.0,24.0,5,27695
A350,7878,197,1961,29854,77.0,28.2,6,36880
B737,12041,344,14920,25507,17.0,-18.5,1,61295
B737,1528,277,18925,26313,3.4,2.8,17,14762
B777,7608,403,9512,37050,69.7,18.5,18,41592
A350,9403,484,4749,33999,76.7,14.7,5,50011
B787,3191,475,10982,35508,62.6,-2.2,17,21233
A380,8909,470,7936,36689,0.4,-4.2,12,46825
