aircraft_type,flight_hours,cycles,engine_temp_c,vibration_level,oil_pressure_psi,hydraulic_pressure,age_years,last_maintenance_days,needs_maintenance
A380,25844,11081,723.5,0.968,66.1,3193.7,19,209,1
B787,28958,3791,741.2,0.78,69.0,3246.1,14,76,1
B787,6617,10652,618.0,0.67,46.5,2813.3,11,227,1
A350,44860,15416,654.1,0.796,50.3,2854.6,14,207,1
A380,15974,10596,746.1,0.307,64.4,3407.5,10,141,1
B777,37434,1870,673.1,0.026,59.2,3200.9,21,320,1
B737,20276,12522,675.9,0.37,47.9,2921.8,15,120,1
A320,20211,17453,599.5,0.552,54.4,3200.3,4,79,1
B737,9666,6010,677.2,0.818,67.7,2752.8,24,230,1
A320,11561,12649,619.3,0.946,70.0,2754.9,10,344,1
A320,41782,3498,689.9,0.055,63.5,2776.7,2,219,1
A320,24373,18026,628.7,0.02,56.3,3089.6,19,125,1
A350,31877,13339,642.4,0.567,43.4,3244.6,2,262,1
B777,16645,7052,613.4,0.286,67.4,2939.5,1,97,1
B777,1035,90,570.3,0.851,71.1,3285.2,8,87,1
B777,38620,6300,663.4,0.847,54.5,2955.5,21,55,1
A320,34509,11270,620.5,0.977,72.0,2808.8,19,8,1
B777,28327,12207,638.8,0.227,49.0,3129.6,13,46,1
A320,47948,2229,698.6,0.063,65.5,2537.4,4,77,1
A350,25150,6430,591.2,0.895,56.3,3276.6,4,28,1
B737,33615,19323,654.9,0.682,52.4,2913.7,8,298,1
B777,25326,19355,759.2,0.905,49.6,3112.5,3,12,1
B737,46997,14480,599.9,0.765,58.4,3181.2,12,76,1
B777,35353,7892,518.2,0.565,53.5,2668.9,13,110,1
A320,27828,7777,746.1,0.38,54.6,3254.9,11,240,1
A380,8146,6094,668.3,0.537,62.3,2968.0,19,258,1
A380,45423,12049,680.4,0.441,71.8,3175.6,2,61,1
A320,19906,391,667.3,0.546,72.0,3250.5,18,111,1
B777,13510,8155,591.6,0.876,38.7,2907.5,20,263,1
B787,38132,12898,623.7,0.334,70.8,3151.1,11,112,1
A380,9854,16705,647.7,0.225,46.0,3363.6,17,226,1
A350,45464,2206,535.2,0.017,66.1,2830.5,6,96,1
A320,41386,15034,711.0,0.359,45.5,3226.8,23,50,1
A320,32964,9185,658.7,0.078,61.6,3221.9,20,360,1
B737,29012,19720,673.7,0.758,72.0,3209.0,9,347,1
A320,33817,11122,612.4,0.05,45.2,2816.1,3,299,1
A320,33497,18115,563.6,0.667,63.6,3070.6,1,173,1
B737,42276,1821,763.7,0.798,58.8,3912.4,15,282,1
A380,31989,17239,656.7,0.134,79.8,3206.4,24,4,1
B737,11432,12895,701.2,0.76,51.9,2800.0,14,221,1
A350,36387,11110,675.8,0.742,62.8,3091.5,8,80,1
A380,35679,17605,680.7,0.289,75.0,2605.4,14,340,1
A380,42368,15605,706.6,0.324,49.5,3155.6,12,329,1
A320,26672,3677,580.7,0.979,66.4,3304.5,24,183,1
B777,24579,6280,583.9,0.266,69.6,3079.2,9,20,1
A380,4109,9885,563.4,0.619,71.5,2672.7,4,257,1
B777,49329,18411,634.1,0.339,57.3,2916.1,9,181,1
A320,35677,5107,688.0,0.835,51.4,2975.1,23,51,1
A380,39161,13296,614.0,0.224,59.3,3116.2,11,7,1
A350,26804,2500,660.3,0.331,68.8,2821.8,5,37,1
B777,49795,18221,696.2,0.487,41.9,2680.7,14,200,1
B787,30155,19546,493.6,0.454,54.2,2994.8,2,18,1
A380,46995,8409,663.7,0.853,49.2,2982.5,17,153,1
B787,19831,1125,768.3,0.497,60.2,2874.7,20,27,1
A350,28012,10324,627.7,0.524,71.6,2792.6,8,40,1
A380,19788,6175,632.0,0.739,63.7,2700.0,12,84,1
B787,1879,53,596.8,0.647,52.0,2884.0,15,129,1
A350,21210,15147,668.7,0.772,75.5,3194.3,22,4,1
B787,17109,18491,714.7,0.219,75.9,3478.4,22,359,1
A320,32612,6161,633.5,0.521,62.5,3270.7,14,189,1
B777,44588,17701,585.8,0.548,54.6,3133.8,22,214,1
A320,49001,14143,701.5,0.961,53.7,2860.3,8,111,1
A380,49713,16839,615.7,0.2,60.4,3060.9,18,172,1
B777,40646,12002,652.5,0.848,59.0,3197.7,1,246,1
B777,45458,18285,734.4,0.89,47.2,3050.6,13,30,1
B787,39433,5111,658.7,0.55,58.2,3206.8,8,306,1
B737,32335,7573,701.8,0.535,54.7,3130.5,16,202,1
A380,41132,6306,693.4,0.015,66.2,3546.0,5,219,1
A350,24921,2625,619.0,0.415,60.1,3239.2,16,9,1
A320,45213,3926,536.7,0.147,66.0,2581.1,20,348,1
B787,17817,2701,731.0,0.717,62.8,2743.7,23,124,1
A350,24926,18910,617.2,0.107,45.6,2982.0,11,203,1
A380,34757,1380,701.4,0.281,43.8,3339.6,16,275,1
B787,38308,5329,673.4,0.41,57.9,2861.3,17,34,1
B777,7666,12957,681.0,0.215,44.6,2927.4,15,332,1
B777,6410,18083,606.9,0.607,66.4,2835.2,1,307,1
B737,8605,18094,593.1,0.098,57.9,2968.0,6,14,0
A320,10478,16204,591.4,0.086,67.9,3259.5,10,285,1
A380,7395,7048,675.8,0.925,73.7,2539.9,11,41,1
B777,19743,6325,601.7,0.838,46.7,2938.0,11,55,1
B737,43884,13520,732.8,0.196,60.1,2753.1,10,262,1
B737,48877,691,764.6,0.301,71.7,3192.7,2,244,1
B787,6356,8843,632.3,0.594,60.9,3070.9,24,94,1
