booking_lead_days,seat_class,is_business_traveler,prior_no_shows,checked_in_online,has_baggage,route_distance_km,is_connecting,fare_paid_usd,no_show
263,Business,0,0,0,0,4913,0,4315,0
132,First,0,2,0,1,6784,1,2784,1
343,Economy,0,3,0,0,11297,0,808,1
296,First,0,0,0,0,1705,0,2602,0
314,First,0,4,0,0,7420,1,1369,1
8,Economy,1,1,0,1,6987,1,2501,1
41,Economy,1,1,1,0,7926,1,3612,1
17,Economy,1,2,0,1,11658,1,3030,0
301,First,0,2,1,1,4607,0,1227,1
209,First,1,2,0,0,3100,0,1715,1
283,First,1,2,0,0,5023,1,2501,1
292,Business,0,4,0,0,4269,1,3171,1
329,First,1,3,0,0,1022,1,2118,1
275,Business,1,4,0,0,13446,1,1539,1
214,Economy,1,1,1,1,7086,1,1526,0
234,Business,0,1,1,1,4668,1,4554,0
147,First,0,1,0,1,13976,0,4367,0
49,Economy,0,3,1,0,11901,0,4704,0
132,Business,0,3,0,0,7700,0,616,1
187,Economy,1,0,1,0,6336,1,2201,0
72,Economy,1,3,0,1,4743,1,1565,1
298,Business,1,1,1,0,8607,0,98,0
104,Economy,1,3,1,1,4926,1,4035,1
291,Economy,0,3,1,1,4316,0,4441,1
231,First,1,3,1,0,2146,0,4414,1
100,Economy,1,2,0,1,1136,0,3889,1
258,Business,0,3,0,0,11375,0,2754,1
291,Business,1,2,0,0,7936,0,2628,1
111,First,1,1,0,1,3695,0,684,0
44,First,0,0,0,0,7391,0,2341,0
99,Business,0,4,1,0,9522,1,4509,1
156,Business,0,0,0,0,5249,0,4433,0
224,First,0,4,0,0,12476,1,2395,1
72,Business,0,1,1,0,4649,0,3728,0
68,Economy,1,2,0,0,7069,1,3905,1
171,First,1,3,0,0,11673,1,4763,1
223,First,0,2,0,1,12870,1,1435,1
48,First,0,4,1,0,3165,1,2761,0
235,First,0,3,0,0,9064,0,1488,1
108,Economy,0,4,1,1,10225,0,643,0
272,First,0,4,1,1,7483,0,1073,1
157,First,0,3,1,0,9541,1,2362,1
238,Business,0,0,1,0,4887,1,1033,0
3,First,1,0,0,0,13820,1,2582,0
203,Business,1,4,0,1,11459,0,4493,1
83,Business,1,1,0,0,1272,0,917,1
213,Business,1,2,0,0,8422,1,687,1
358,Economy,0,0,1,1,5106,0,1460,0
61,First,1,3,0,1,9779,0,2988,1
57,First,0,4,0,1,7138,1,3258,1
171,Business,1,2,1,0,9695,0,4197,1
313,First,1,2,1,0,5667,0,3116,1
361,Business,1,4,0,0,7582,0,4633,1
251,First,0,2,0,1,13978,0,4166,1
327,Business,0,1,1,0,8387,0,4109,1
136,Business,1,4,1,0,10717,0,1139,1
237,Business,0,2,1,0,9033,0,1538,0
5,Economy,0,2,1,1,8037,0,4699,1
274,Business,1,0,1,0,7363,0,3464,1
85,Economy,0,2,0,1,2424,1,509,1
147,Economy,0,2,1,1,943,0,1320,0
63,Business,0,0,0,1,5994,0,4040,1
154,Economy,0,4,0,1,4858,1,3654,1
134,First,1,0,0,1,10867,1,99,0
117,Economy,0,3,1,1,11513,1,2751,0
23,Economy,1,3,0,0,11364,0,794,1
263,Economy,0,1,0,1,767,0,4323,1
322,Economy,1,2,1,1,8340,0,688,1
10,Business,1,3,0,0,2005,0,3368,1
355,First,0,4,0,1,4360,0,1127,1
65,First,1,4,0,0,6637,0,2936,1
262,Economy,1,3,0,1,12461,1,496,1
23,First,0,0,1,0,5829,0,4593,0
318,Business,0,1,1,0,11985,0,1822,0
