origin,destination,distance_km,avg_passengers,avg_revenue_usd,avg_delay_min,fuel_cost_usd,competition_score,demand_score,profitability_score
FRA,JFK,6929,442,79784,111,98908,0.35,0.24,0.0
BOM,SIN,8514,435,341415,31,57001,0.58,0.84,0.5378
BOM,CDG,4454,264,284957,110,84627,0.85,0.93,0.2907
NRT,SYD,7836,107,420760,114,81738,0.23,0.5,0.564
FRA,LHR,11495,141,152357,58,18138,0.26,0.41,0.2104
DXB,JFK,11865,290,124123,47,31973,0.55,0.86,0.1373
CDG,JFK,13299,242,336675,106,95359,0.73,0.24,0.3766
FRA,CDG,13082,398,196989,88,29076,0.73,0.78,0.2478
LAX,CDG,6064,54,118709,78,46464,0.59,0.33,0.0665
DXB,CDG,3885,91,322457,34,18910,0.13,0.37,0.5731
DXB,CDG,13977,111,440611,111,93746,0.87,0.63,0.5827
FRA,BOM,10555,475,361365,37,25374,0.91,0.4,0.635
DXB,DXB,7933,258,47326,91,65552,0.77,0.36,0.0
LAX,CDG,2125,262,331465,84,16570,0.46,0.4,0.5458
JFK,NRT,7769,298,75234,22,79647,0.52,0.46,0.0
LAX,SIN,2613,348,100159,111,53921,0.07,0.69,0.0
NRT,FRA,6967,294,266404,6,54243,0.93,0.73,0.4183
NRT,FRA,3341,280,179395,3,71158,0.89,0.33,0.2135
CDG,NRT,570,225,259372,31,96074,0.86,0.05,0.2956
LAX,SYD,3823,493,422976,54,36171,0.56,0.45,0.7196
LHR,LHR,12117,414,378882,63,66864,0.47,0.19,0.561
CDG,DXB,6134,165,361059,12,54056,0.59,0.43,0.602
LHR,LAX,10228,260,99418,99,50421,0.09,0.37,0.0
SIN,SIN,2554,384,409888,80,28241,0.36,0.08,0.6833
NRT,DXB,5290,255,341261,38,48525,0.19,0.05,0.5475
JFK,NRT,8795,274,270699,0,26393,0.81,0.73,0.4886
JFK,DXB,5741,281,403560,43,12254,0.19,0.06,0.7396
JFK,LHR,1730,332,117880,76,42516,0.99,0.86,0.0747
CDG,BOM,4159,394,226872,103,72935,0.73,0.35,0.2049
LHR,LHR,6024,155,398871,16,7936,0.03,0.65,0.7659
JFK,LAX,6154,270,442251,40,42318,0.56,0.79,0.7599
DXB,LAX,9757,56,383506,51,78409,0.26,0.82,0.5592
LAX,BOM,8025,109,406087,110,68084,0.46,0.14,0.566
NRT,LAX,10590,260,251499,6,21808,0.23,0.44,0.4534
LHR,JFK,3113,397,34219,16,87152,0.97,0.5,0.0
DXB,LHR,7237,300,100451,1,77666,0.43,0.29,0.0446
JFK,LAX,1743,386,429999,102,33578,0.92,0.12,0.6908
LAX,LAX,2455,231,442658,26,73928,0.31,0.84,0.7115
LAX,NRT,4723,383,476406,50,95908,0.33,0.36,0.711
