seat_class,flight_delay_min,seat_comfort,food_quality,staff_service,entertainment,cleanliness,wifi_quality,checkin_ease,flight_distance_km,satisfaction
Business,19,4,2,5,5,5,1,4,8098,neutral
Economy,41,4,3,3,1,1,1,2,5171,dissatisfied
First,0,2,1,2,2,4,2,5,4487,dissatisfied
First,0,4,3,5,2,3,1,5,4421,neutral
First,0,4,2,5,3,5,5,3,11756,neutral
Business,22,2,1,1,1,2,2,2,1883,dissatisfied
Business,18,2,3,3,5,5,2,3,6708,dissatisfied
Business,0,2,5,4,1,1,5,4,3898,neutral
First,24,4,2,5,1,4,5,3,9996,neutral
Economy,75,5,4,1,2,4,3,4,1357,dissatisfied
Economy,27,3,3,3,5,2,5,2,12460,dissatisfied
Economy,43,3,4,4,5,5,3,3,13630,neutral
First,19,5,3,4,5,2,4,3,1756,neutral
Business,12,2,1,5,1,1,4,5,5692,dissatisfied
Business,8,1,4,2,3,5,1,5,8624,dissatisfied
Business,21,1,2,3,4,4,4,3,5535,dissatisfied
Economy,61,2,4,1,4,2,2,3,12146,dissatisfied
Business,61,3,2,3,4,5,2,5,11225,dissatisfied
First,52,1,1,1,2,3,1,1,13270,dissatisfied
Economy,25,5,2,5,4,1,4,4,8354,neutral
First,46,1,3,3,4,5,4,2,4033,dissatisfied
First,4,5,2,5,1,1,2,5,3347,neutral
Economy,60,1,4,2,5,4,3,2,1884,dissatisfied
Business,59,3,4,1,5,3,1,3,3959,dissatisfied
Economy,16,2,3,2,1,2,1,2,13282,dissatisfied
Economy,0,1,2,1,3,4,5,3,7988,dissatisfied
Economy,0,1,2,2,1,2,5,3,3056,dissatisfied
Economy,0,2,2,3,3,1,4,3,9105,dissatisfied
Economy,3,5,5,1,5,4,1,1,13669,neutral
Economy,0,1,5,5,2,1,5,5,5078,neutral
First,0,4,4,1,1,1,5,4,7501,dissatisfied
Business,34,5,4,4,2,5,1,2,5411,neutral
Business,0,5,1,1,1,5,1,4,3126,dissatisfied
First,0,5,2,1,4,4,3,5,12235,dissatisfied
Economy,20,4,4,4,5,2,3,5,3129,neutral
Business,23,4,1,2,3,2,2,2,11541,dissatisfied
Business,0,3,5,2,5,2,2,1,7530,neutral
First,35,3,4,1,5,3,3,4,7960,dissatisfied
Economy,35,3,2,2,4,3,4,1,4777,dissatisfied
Business,0,2,4,4,1,3,3,3,6985,neutral
Business,87,4,5,5,1,3,3,3,4313,neutral
Business,84,2,1,2,3,2,3,3,11529,dissatisfied
Business,69,2,1,1,4,1,4,5,3939,dissatisfied
Economy,0,4,1,5,2,5,4,1,1008,neutral
Economy,0,4,2,5,3,2,2,5,1909,neutral
Business,0,3,4,5,2,5,5,1,2201,neutral
First,54,1,4,1,2,2,4,2,1335,dissatisfied
Economy,20,2,1,5,4,1,1,5,2169,dissatisfied
Business,51,4,3,4,1,2,3,3,5141,neutral
Economy,40,4,5,5,5,5,3,3,7506,neutral
Business,101,3,4,4,2,2,1,5,11996,dissatisfied
Business,83,3,5,1,5,3,3,4,11559,dissatisfied
Economy,20,2,2,1,1,4,2,2,12247,dissatisfied
First,39,1,4,1,5,4,5,3,3564,dissatisfied
Business,0,1,2,5,2,2,1,2,4729,neutral
Business,0,5,2,2,4,2,2,4,10547,dissatisfied
Economy,80,5,4,2,4,2,2,5,11054,dissatisfied
First,0,3,5,5,3,4,2,2,3611,neutral
Economy,51,2,4,3,2,5,5,1,3075,dissatisfied
Business,0,5,1,3,3,3,2,1,5173,neutral
Economy,0,2,2,4,5,3,4,4,4093,dissatisfied
Business,95,1,2,2,3,2,5,1,3909,dissatisfied
First,20,3,5,5,1,4,4,3,6801,neutral
Business,15,2,1,1,1,5,2,1,12436,dissatisfied
First,77,1,3,2,4,4,5,3,4663,dissatisfied
Business,16,1,5,5,3,3,4,3,4122,neutral
Economy,16,2,3,3,2,3,4,3,13303,dissatisfied
First,27,2,1,3,4,1,3,3,819,dissatisfied
Business,23,5,2,3,5,4,3,1,4558,neutral
Economy,20,5,1,4,5,4,3,4,12887,neutral
Business,78,4,1,5,4,3,5,3,13836,dissatisfied
Economy,77,1,5,5,1,2,4,4,8194,dissatisfied
Economy,2,4,2,1,1,4,1,4,8125,dissatisfied
First,0,5,2,5,5,2,5,5,13433,neutral
Economy,0,1,2,1,1,1,2,4,1080,dissatisfied
Business,1,2,4,3,5,3,1,2,11839,neutral
First,0,1,1,2,1,4,2,3,670,dissatisfied
Economy,64,2,2,3,5,2,5,4,9678,dissatisfied
First,33,3,4,5,5,4,3,5,7554,neutral
First,48,2,5,1,5,3,5,5,961,dissatisfied
Business,22,1,4,3,1,1,2,2,7850,dissatisfied
Business,0,5,5,5,2,1,3,5,3958,neutral
Business,0,2,3,5,5,5,5,3,5757,neutral
Economy,0,4,1,1,1,3,3,5,523,dissatisfied
Economy,8,3,4,4,2,4,5,2,7018,neutral
Business,21,3,5,2,5,1,4,3,8263,dissatisfied
Economy,54,2,3,4,2,4,2,1,3637,dissatisfied
Business,0,4,2,3,3,3,4,3,6337,neutral
Economy,9,4,3,4,5,3,2,4,9189,neutral
First,55,1,2,1,5,2,4,1,11164,dissatisfied
First,11,3,5,2,1,2,5,4,12424,neutral
Business,35,2,1,4,3,3,5,4,8888,dissatisfied
Business,72,4,3,4,1,2,2,4,6188,dissatisfied
Business,44,2,5,2,4,1,2,2,12679,dissatisfied
Business,5,1,5,3,3,2,5,2,12643,neutral
Economy,35,2,5,1,5,2,4,3,11963,dissatisfied
Economy,44,2,2,2,5,1,5,2,4731,dissatisfied
Economy,22,4,1,3,5,5,3,5,12483,dissatisfied
Business,55,4,3,2,3,1,2,5,11470,dissatisfied
Economy,62,4,2,1,5,4,3,4,11218,dissatisfied
First,22,5,1,1,4,4,2,3,13425,dissatisfied
First,71,1,1,4,2,1,1,5,2201,dissatisfied
Business,0,4,2,4,3,2,5,1,4188,neutral
Economy,19,5,3,5,2,1,2,2,7741,neutral
Economy,0,1,2,5,1,2,3,4,13778,neutral
Economy,8,1,1,4,1,2,2,2,6797,dissatisfied
First,74,3,3,1,3,4,5,3,1917,dissatisfied
First,0,4,5,3,5,4,4,4,3426,neutral
First,0,3,5,4,1,5,4,4,5292,neutral
Business,80,5,4,5,1,4,5,2,8486,neutral
Economy,1,5,4,1,4,1,2,4,3340,neutral
Business,76,5,5,2,1,4,3,4,3308,dissatisfied
Business,9,2,2,4,1,2,2,1,11325,dissatisfied
Economy,42,1,4,4,1,2,4,4,3031,dissatisfied
Economy,0,2,4,3,5,3,3,2,11138,neutral
Business,27,4,3,1,1,1,3,5,2589,dissatisfied
Business,0,3,2,3,3,5,3,4,8662,dissatisfied
Economy,20,2,2,2,5,5,5,3,3817,dissatisfied
Business,0,5,2,1,4,4,1,4,6920,dissatisfied
Business,0,3,3,3,1,3,4,4,4622,neutral
First,13,5,4,2,5,4,3,4,9795,neutral
Business,0,1,3,2,5,4,3,1,1586,dissatisfied
First,18,5,5,4,1,5,5,3,2726,neutral
First,62,5,1,1,4,2,5,2,1171,dissatisfied
Business,0,1,5,2,1,3,2,4,11263,dissatisfied
First,4,4,5,3,1,3,1,2,2267,neutral
First,7,4,4,1,3,1,3,1,7051,dissatisfied
First,56,2,4,2,5,5,1,4,8669,dissatisfied
First,28,1,1,4,2,5,5,1,4766,dissatisfied
Business,3,4,4,5,4,3,2,1,10320,neutral
Business,2,1,2,5,4,4,1,5,8477,neutral
First,26,3,5,5,5,1,3,5,8766,neutral
Business,39,4,1,2,2,3,2,5,3537,dissatisfied
Business,37,5,1,2,2,1,3,3,10075,dissatisfied
Economy,54,2,4,3,2,3,3,1,782,dissatisfied
Economy,52,4,1,5,5,4,1,2,10429,dissatisfied
First,0,4,1,5,1,1,4,5,4097,neutral
Economy,83,3,2,1,4,2,4,3,1482,dissatisfied
Economy,72,1,5,1,2,4,3,4,7148,dissatisfied
Economy,72,5,1,2,1,5,1,5,9003,dissatisfied
First,100,5,1,2,4,2,3,4,9717,dissatisfied
Business,49,3,1,4,4,1,2,4,13112,dissatisfied
First,77,1,3,5,3,2,5,4,10245,dissatisfied
Business,0,2,2,5,2,1,5,5,9051,neutral
Economy,38,1,5,2,5,4,4,1,820,dissatisfied
First,5,5,3,3,1,5,5,3,11639,neutral
First,19,2,1,1,2,1,4,3,9657,dissatisfied
First,61,5,4,5,5,1,4,1,948,neutral
Business,0,4,1,3,1,5,2,5,953,dissatisfied
Economy,17,5,2,1,1,3,2,1,6062,dissatisfied
Business,0,3,1,4,5,2,4,4,11411,dissatisfied
Business,35,4,4,2,5,3,5,4,8734,dissatisfied
First,0,1,3,3,2,2,5,5,6553,dissatisfied
Business,0,4,2,1,4,2,4,3,8336,dissatisfied
First,25,1,3,2,1,2,3,1,4980,dissatisfied
First,0,1,4,2,4,5,3,1,8051,dissatisfied
Business,65,3,5,5,2,5,2,1,4473,neutral
First,0,2,3,1,4,1,2,3,7280,dissatisfied
Business,9,5,3,2,2,5,5,1,791,neutral
First,98,4,1,5,5,2,5,1,5615,dissatisfied
Business,0,3,2,2,3,4,5,5,563,dissatisfied
First,85,3,2,1,5,1,4,3,13012,dissatisfied
Business,38,4,5,2,2,1,2,1,9021,neutral
Business,33,2,5,4,3,5,2,2,11918,neutral
Business,4,5,3,4,1,2,3,5,3700,neutral
First,67,3,5,4,2,4,1,1,10768,neutral
Economy,17,1,2,4,3,5,2,5,5189,dissatisfied
Business,55,2,2,3,4,1,2,4,6593,dissatisfied
First,30,5,3,2,3,3,1,1,8396,dissatisfied
Economy,0,4,3,2,1,5,1,1,3001,dissatisfied
Business,53,3,4,2,5,1,1,1,12051,dissatisfied
First,73,5,2,2,4,1,2,3,9333,dissatisfied
Economy,0,3,5,5,5,3,5,5,12503,neutral
First,28,5,4,3,1,4,2,1,11907,neutral
Business,52,1,1,2,4,5,4,1,1063,dissatisfied
First,55,5,5,5,1,3,3,5,5108,neutral
Business,0,1,1,3,1,1,4,3,13451,dissatisfied
First,52,4,4,5,2,5,1,2,9231,neutral
Business,0,2,2,4,4,1,2,4,12820,dissatisfied
Business,5,5,2,4,2,3,2,5,729,neutral
Business,66,3,1,5,1,2,3,5,8477,dissatisfied
Business,86,4,2,2,2,2,3,2,933,dissatisfied
Economy,26,5,3,3,5,2,3,1,13950,neutral
Business,40,4,4,1,3,2,3,2,3121,dissatisfied
Economy,52,4,5,5,2,5,4,1,4851,neutral
Business,15,4,4,5,5,2,4,1,4695,neutral
Economy,72,4,1,5,1,2,3,1,11074,dissatisfied
First,47,3,1,2,2,5,3,3,13602,dissatisfied
First,0,1,2,5,2,3,4,2,10749,neutral
Business,34,1,1,1,5,4,2,3,3901,dissatisfied
First,30,3,5,4,1,3,2,3,8740,neutral
First,0,4,4,4,5,5,5,2,5499,neutral
Business,65,3,5,3,4,3,2,2,5008,dissatisfied
First,0,4,4,3,1,2,2,1,10528,neutral
First,47,4,2,4,1,2,5,5,10495,dissatisfied
Business,100,2,1,1,5,5,5,5,2662,dissatisfied
Economy,0,1,4,1,5,4,4,4,1177,dissatisfied
First,38,3,3,2,3,2,3,1,13888,dissatisfied
First,32,5,3,4,5,4,4,2,6080,neutral
Business,33,4,3,4,4,2,3,5,5415,neutral
Business,115,5,3,3,4,5,2,4,1506,dissatisfied
