origin,destination,days_before_departure,season,seat_class,airline,distance_km,demand_score,competitor_price,is_holiday,price_usd
CDG,BOM,296,winter,Economy,AeroGulf,13673,0.03,1688,0,4970
JFK,LHR,148,summer,Economy,SkyMind,13696,0.87,1532,1,1063
JFK,SIN,207,winter,Economy,SkyMind,12767,0.7,545,1,2341
SYD,SIN,360,spring,Business,PacificAir,8140,0.17,753,1,1475
SIN,BOM,227,autumn,First,SkyMind,7434,0.03,146,1,2734
NRT,CDG,360,winter,First,SkyMind,6578,0.26,1218,1,369
CDG,FRA,184,autumn,First,EuroWings,3823,0.92,1980,0,400
FRA,LAX,41,spring,Economy,AsiaJet,8866,0.67,1050,0,3368
CDG,FRA,182,spring,First,EuroWings,7605,0.92,1612,0,2935
LHR,LAX,44,winter,Business,PacificAir,1863,0.45,1846,0,389
JFK,SIN,210,summer,Business,AeroGulf,11587,0.94,751,1,2150
DXB,FRA,337,autumn,Economy,PacificAir,9729,0.46,1386,0,3527
JFK,SYD,250,autumn,Economy,SkyMind,7989,0.2,1556,1,503
BOM,JFK,84,autumn,Economy,AsiaJet,8451,0.15,753,0,3074
SIN,CDG,139,spring,First,SkyMind,3511,0.99,1042,1,423
LHR,DXB,231,spring,First,AsiaJet,2590,0.33,753,1,456
SIN,NRT,12,winter,First,AsiaJet,9152,0.16,1082,1,3272
SYD,CDG,273,winter,Business,AsiaJet,11444,0.01,1814,0,662
LAX,NRT,90,spring,Business,AeroGulf,648,0.29,342,1,162
NRT,SYD,25,summer,First,PacificAir,4933,0.89,1777,0,2010
NRT,SIN,26,autumn,Business,AeroGulf,5598,0.53,954,1,2226
NRT,NRT,153,autumn,Business,AeroGulf,1633,0.63,1003,1,442
FRA,SIN,60,spring,Economy,AeroGulf,853,0.92,1456,1,564
LAX,LAX,60,summer,First,EuroWings,9799,0.51,711,0,1902
SYD,LHR,283,summer,Business,EuroWings,11294,0.84,1231,1,712
JFK,DXB,171,summer,Business,EuroWings,2613,0.32,420,0,949
LHR,SIN,76,summer,First,AeroGulf,8055,0.98,904,0,1622
LAX,CDG,276,summer,First,SkyMind,12786,0.08,573,0,2272
JFK,FRA,208,winter,Economy,EuroWings,6510,0.72,807,1,481
BOM,BOM,155,spring,Economy,EuroWings,4185,0.66,371,1,1562
SIN,SIN,180,spring,First,AeroGulf,3706,0.19,1596,0,704
NRT,DXB,82,spring,Business,PacificAir,1609,0.39,566,0,370
BOM,LAX,10,autumn,Economy,SkyMind,12871,0.31,1527,1,2387
NRT,JFK,243,summer,First,AsiaJet,10669,0.09,854,1,3907
FRA,CDG,178,summer,Economy,AsiaJet,8918,0.58,323,1,3176
LHR,FRA,286,autumn,Business,SkyMind,11631,0.99,1235,1,742
CDG,BOM,257,summer,Business,AeroGulf,9704,0.56,1578,1,514
SYD,NRT,310,summer,First,PacificAir,12807,0.55,387,0,805
DXB,SYD,4,summer,Economy,PacificAir,3606,0.04,1576,1,1348
FRA,FRA,215,summer,Business,AsiaJet,4436,0.14,440,0,748
LAX,LAX,30,summer,Business,PacificAir,11494,0.51,257,1,4217
CDG,DXB,346,winter,Economy,AsiaJet,10158,0.99,759,1,3587
SIN,BOM,65,spring,First,EuroWings,11680,0.88,285,1,4424
LHR,LHR,124,winter,Economy,AeroGulf,8961,0.34,128,0,587
LAX,DXB,285,summer,Economy,PacificAir,4306,0.54,1531,0,796
CDG,SIN,153,spring,Economy,AeroGulf,7049,0.55,996,0,2615
LAX,CDG,40,spring,Economy,EuroWings,10223,0.69,846,0,749
LHR,BOM,26,spring,Economy,SkyMind,8995,0.69,1150,1,3487
NRT,DXB,273,spring,Business,SkyMind,13597,0.79,1084,1,2520
CDG,DXB,159,autumn,First,SkyMind,5648,0.02,1886,1,283
NRT,FRA,189,spring,First,AsiaJet,2432,0.94,632,1,976
CDG,LHR,264,autumn,Business,AsiaJet,2540,0.07,1012,1,114
JFK,LAX,69,autumn,First,SkyMind,8434,0.48,1215,0,1705
LAX,SIN,1,spring,First,EuroWings,13696,0.92,1027,1,2776
LHR,SYD,79,summer,Economy,AsiaJet,12713,0.49,271,0,871
LHR,JFK,228,summer,First,SkyMind,8833,0.06,213,0,3271
NRT,DXB,327,spring,Economy,AeroGulf,7289,0.23,1221,0,1391
FRA,DXB,46,spring,First,SkyMind,6275,0.58,1378,0,1270
JFK,LAX,108,autumn,Business,SkyMind,9500,0.09,1145,0,3418
LHR,SIN,355,winter,First,AeroGulf,1447,0.42,653,0,80
CDG,JFK,124,autumn,Business,AsiaJet,12643,0.33,1244,1,776
CDG,NRT,148,summer,Economy,AeroGulf,12104,0.82,310,1,4590
SYD,DXB,252,winter,Economy,AsiaJet,10984,0.11,1825,1,1937
SIN,JFK,2,winter,Economy,EuroWings,1265,0.68,915,1,473
BOM,SIN,222,winter,Economy,AsiaJet,11615,0.41,1771,0,4264
JFK,CDG,189,autumn,Business,PacificAir,7672,0.59,485,1,2832
FRA,LAX,71,autumn,First,AsiaJet,5515,0.21,1000,0,472
DXB,JFK,359,spring,Economy,PacificAir,9630,0.61,1407,0,502
NRT,SIN,333,autumn,Economy,AsiaJet,2996,0.67,1176,1,1092
CDG,NRT,97,autumn,Economy,AeroGulf,4062,0.07,1991,0,722
JFK,BOM,232,winter,Business,AsiaJet,1762,0.82,740,1,243
LHR,LAX,30,winter,Business,SkyMind,6893,0.86,1714,1,2735
JFK,JFK,30,autumn,Business,AsiaJet,5550,0.06,1584,1,929
JFK,JFK,215,summer,First,AeroGulf,5910,0.6,1858,1,490
SYD,SYD,173,winter,First,AeroGulf,1042,0.59,1844,1,492
DXB,LAX,280,spring,Economy,AsiaJet,11371,0.01,1979,1,4042
SIN,DXB,211,summer,Business,AsiaJet,13890,0.34,1050,1,2525
JFK,DXB,317,winter,First,AsiaJet,11646,0.97,1431,1,2069
FRA,LHR,125,spring,First,EuroWings,7164,0.56,1456,0,2680
SYD,CDG,80,winter,Business,PacificAir,8223,0.93,312,1,1705
DXB,JFK,184,spring,First,AsiaJet,11623,0.68,1659,0,4268
BOM,BOM,15,winter,Business,AsiaJet,3281,0.03,289,0,576
FRA,NRT,11,winter,Business,PacificAir,12931,0.08,1113,1,2270
SYD,JFK,342,autumn,Business,SkyMind,11683,0.72,283,1,731
BOM,BOM,89,summer,Economy,EuroWings,3112,0.55,1337,1,215
BOM,BOM,3,summer,First,EuroWings,12340,0.13,192,1,2261
LAX,LHR,24,autumn,Economy,SkyMind,1699,0.61,1531,1,692
DXB,NRT,89,winter,Business,PacificAir,10809,0.81,1743,0,2131
LAX,JFK,9,summer,First,PacificAir,11372,0.75,815,1,901
DXB,SYD,46,spring,First,AeroGulf,7532,0.25,1399,1,2797
JFK,LHR,94,spring,Economy,PacificAir,11540,0.26,1101,0,2178
SYD,LAX,71,winter,Economy,EuroWings,6823,0.97,1157,0,1514
BOM,LHR,188,winter,First,AeroGulf,5188,0.89,1906,0,982
NRT,LHR,139,spring,Economy,AsiaJet,13354,0.32,918,0,2460
DXB,CDG,10,winter,Economy,AsiaJet,5286,0.82,344,0,656
JFK,JFK,3,autumn,Business,AsiaJet,4181,0.16,1762,1,304
SYD,JFK,19,summer,First,AeroGulf,5729,0.2,1895,1,359
LHR,FRA,130,spring,Business,EuroWings,3995,0.18,1432,0,270
LHR,LHR,221,autumn,Business,PacificAir,9356,0.09,1777,0,3359
LAX,NRT,130,spring,First,AeroGulf,6578,0.85,804,1,2473
CDG,NRT,113,spring,First,EuroWings,13193,0.58,1540,0,4913
SIN,SYD,138,winter,Business,PacificAir,13773,0.26,1503,0,2556
FRA,BOM,43,summer,First,SkyMind,3662,0.85,149,0,1476
