origin,season,budget_usd,trip_type,duration_days,past_destinations,recommended_dest
FRA,spring,1876,leisure,24,12,SIN
JFK,spring,2655,business,9,10,CDG
FRA,spring,3387,family,23,13,LHR
LAX,spring,3813,business,26,19,LHR
CDG,spring,4869,leisure,23,14,LHR
CDG,winter,3247,business,16,12,LHR
LAX,summer,2046,business,28,6,CDG
SIN,spring,220,business,1,19,BOM
SIN,spring,4723,leisure,8,13,LHR
NRT,autumn,5547,business,5,11,NRT
LHR,spring,1173,family,25,14,SIN
JFK,summer,5307,business,3,6,NRT
CDG,spring,4318,leisure,13,14,LHR
NRT,autumn,3223,leisure,28,19,LHR
SYD,spring,5663,family,2,11,NRT
LAX,summer,597,business,27,17,DXB
BOM,autumn,2431,leisure,3,4,CDG
SYD,summer,702,business,27,8,DXB
SIN,autumn,3048,leisure,2,4,LHR
CDG,spring,7992,business,21,16,NRT
DXB,summer,1304,family,3,17,SIN
LAX,spring,565,family,8,8,BOM
LAX,spring,1922,family,3,16,SIN
NRT,spring,5578,business,10,15,NRT
CDG,spring,6312,leisure,25,19,NRT
BOM,autumn,4771,family,23,8,LHR
SYD,autumn,5411,family,2,3,NRT
JFK,winter,2188,leisure,6,6,CDG
CDG,winter,335,business,14,11,BOM
JFK,spring,6452,business,7,4,NRT
BOM,summer,5369,leisure,23,9,NRT
SYD,summer,1806,business,4,18,SIN
LHR,summer,5634,leisure,12,18,NRT
FRA,summer,1258,family,22,2,SIN
SIN,autumn,5713,leisure,29,19,NRT
NRT,winter,2137,family,7,7,CDG
CDG,autumn,7373,business,6,14,NRT
NRT,spring,321,leisure,28,19,BOM
FRA,summer,837,leisure,19,9,DXB
SIN,winter,4652,family,8,7,LHR
JFK,winter,7425,business,6,2,NRT
LHR,spring,5828,leisure,26,17,NRT
FRA,autumn,6911,leisure,28,9,NRT
DXB,summer,5271,business,27,11,NRT
BOM,summer,894,leisure,21,1,DXB
SIN,summer,7918,leisure,18,6,NRT
LAX,autumn,1382,business,18,15,SIN
DXB,winter,5240,business,17,13,NRT
NRT,spring,4205,business,21,14,LHR
LHR,autumn,2549,leisure,16,14,CDG
LHR,winter,4349,family,14,10,LHR
FRA,summer,6060,leisure,20,13,NRT
CDG,winter,5916,leisure,5,7,NRT
LAX,spring,4500,family,22,13,LHR
NRT,spring,1065,business,4,7,SIN
BOM,winter,7741,business,11,12,NRT
BOM,summer,4752,leisure,26,13,LHR
NRT,spring,4777,business,29,12,LHR
DXB,autumn,4840,leisure,22,8,LHR
SYD,spring,5498,business,27,13,NRT
SYD,autumn,3473,leisure,19,18,LHR
LHR,summer,2725,family,27,19,CDG
SYD,spring,790,family,5,17,BOM
