airport,wind_speed_kmh,visibility_km,precipitation_mm,temperature_c,humidity_pct,lightning_risk,fog_level,season,risk_level
LAX,47.4,3.8,39.9,27.6,72,0,light,autumn,high
LHR,31.0,5.4,18.9,-8.7,18,0,none,summer,medium
BOM,21.1,1.6,36.3,52.1,28,1,none,summer,medium
FRA,42.3,10.5,49.6,20.4,53,0,none,spring,medium
DXB,43.1,19.0,23.5,45.1,88,1,none,summer,low
NRT,79.4,13.4,30.5,2.5,55,0,light,winter,medium
DXB,33.6,15.1,27.6,33.2,18,1,heavy,autumn,medium
FRA,18.9,0.5,33.5,37.2,45,0,heavy,autumn,medium
SIN,117.0,7.9,15.4,25.4,30,0,heavy,autumn,high
BOM,4.5,12.1,18.0,45.7,88,0,heavy,spring,low
NRT,112.7,19.9,16.7,19.1,80,1,none,spring,medium
LHR,50.6,15.5,40.6,29.9,39,1,heavy,autumn,medium
FRA,67.1,9.2,42.8,13.4,56,0,heavy,spring,high
BOM,95.7,13.0,35.9,28.7,92,1,none,autumn,high
SIN,107.9,9.5,22.0,27.8,29,1,light,winter,high
NRT,120.0,13.0,38.5,38.0,58,0,none,autumn,high
FRA,76.7,18.7,43.8,24.3,40,1,none,winter,medium
JFK,76.2,17.8,19.9,32.7,58,1,light,spring,medium
LHR,21.0,17.4,41.0,4.1,20,1,none,autumn,low
LAX,60.3,8.5,42.2,32.3,18,1,light,autumn,medium
BOM,88.2,8.0,3.8,29.0,44,0,heavy,autumn,medium
JFK,115.7,6.8,36.5,20.9,24,1,none,winter,high
LHR,4.5,16.1,36.1,-13.3,18,1,none,spring,low
DXB,98.1,0.6,38.8,41.7,13,0,none,winter,high
BOM,97.9,12.5,13.9,15.4,92,0,light,spring,medium
SIN,51.7,6.9,49.7,1.3,62,0,none,autumn,high
FRA,48.0,16.0,21.3,14.7,98,0,light,summer,medium
SYD,114.1,12.5,32.6,9.8,69,1,light,spring,high
DXB,45.1,14.3,28.1,17.9,42,1,heavy,winter,medium
CDG,6.5,19.5,44.5,8.4,32,0,light,autumn,low
NRT,104.0,3.4,25.4,33.0,31,1,none,autumn,high
LAX,107.2,10.6,32.9,14.2,26,0,light,summer,high
LHR,65.0,0.5,5.9,22.9,44,0,heavy,autumn,high
JFK,108.7,8.1,33.9,2.4,91,1,none,spring,high
FRA,77.4,16.3,2.2,54.8,83,1,light,autumn,medium
JFK,16.4,18.6,49.1,14.7,63,0,light,autumn,low
SYD,20.2,11.5,38.8,22.6,67,0,heavy,winter,medium
JFK,55.3,2.4,24.1,11.1,10,1,light,spring,high
CDG,59.3,17.2,40.5,31.9,74,1,light,spring,medium
BOM,59.5,16.6,6.0,40.7,49,0,light,winter,low
FRA,114.1,6.8,43.2,30.1,41,0,none,spring,high
LAX,59.9,18.4,1.0,40.5,74,1,none,summer,low
LHR,80.1,2.5,46.2,28.5,88,1,none,winter,high
NRT,101.6,19.3,10.3,31.2,74,1,light,winter,medium
FRA,98.8,4.7,49.9,24.0,25,0,heavy,winter,high
JFK,82.6,15.4,32.5,25.1,12,1,heavy,winter,medium
LAX,114.7,14.9,23.6,34.9,93,1,light,summer,medium
NRT,37.9,15.8,49.4,34.1,99,1,light,autumn,medium
JFK,106.6,12.4,40.7,2.9,92,1,none,autumn,high
JFK,37.3,14.4,33.8,37.2,99,0,light,spring,medium
CDG,66.5,1.2,43.6,31.4,80,1,heavy,spring,high
LAX,19.7,5.0,46.2,10.4,67,1,light,spring,medium
NRT,89.3,15.9,43.8,13.6,76,0,none,winter,medium
LAX,75.2,12.4,2.3,39.6,53,1,heavy,summer,medium
SYD,111.7,4.6,29.7,40.5,46,1,none,autumn,high
SIN,50.1,9.7,41.8,13.7,90,1,heavy,autumn,medium
LAX,56.7,5.2,24.8,35.9,16,1,none,summer,medium
SIN,8.9,13.3,0.8,20.0,68,0,light,spring,low
LAX,88.1,19.9,47.1,29.6,47,1,light,summer,medium
DXB,116.3,2.0,45.5,36.4,67,1,light,summer,high
BOM,101.4,6.9,20.6,26.8,58,1,heavy,winter,high
FRA,83.3,11.7,32.0,39.4,68,0,none,summer,medium
LAX,103.6,12.4,17.1,39.9,53,1,heavy,spring,medium
LHR,40.1,11.3,44.4,28.8,87,1,none,spring,medium
LHR,65.4,1.8,16.6,14.6,16,1,heavy,spring,high
FRA,13.4,13.6,13.4,43.9,71,0,light,spring,low
DXB,45.7,18.9,45.3,-8.0,21,1,heavy,spring,medium
BOM,29.1,9.6,26.3,16.7,62,0,none,winter,medium
LAX,5.4,3.9,31.1,20.9,30,0,heavy,summer,medium
LAX,11.3,13.3,27.9,6.6,41,0,heavy,winter,low
BOM,119.6,19.8,30.3,23.8,17,1,heavy,spring,medium
DXB,112.0,12.9,13.7,29.6,55,0,heavy,summer,medium
SYD,86.5,1.7,26.5,25.9,12,0,light,winter,high
BOM,54.9,4.4,17.2,12.6,63,0,none,autumn,medium
NRT,47.5,8.0,32.6,21.1,96,1,light,spring,medium
BOM,81.1,13.8,32.7,-1.7,60,1,light,winter,medium
BOM,29.0,6.2,19.4,19.9,20,1,heavy,autumn,medium
JFK,32.4,4.4,22.0,40.0,88,0,heavy,summer,medium
JFK,108.2,16.4,17.9,29.7,74,1,light,summer,medium
FRA,11.5,17.3,17.8,24.9,10,1,light,winter,low
CDG,9.1,18.3,39.9,29.2,69,1,none,summer,low
DXB,53.0,6.9,15.4,22.2,26,0,light,spring,medium
SYD,49.9,0.2,49.3,29.5,71,1,heavy,winter,high
NRT,49.5,16.2,12.0,24.8,29,1,light,autumn,low
SIN,55.4,18.4,18.3,29.0,20,1,light,winter,low
LAX,38.5,16.8,1.7,2.0,96,0,none,summer,low
FRA,25.3,5.0,23.9,12.4,45,0,heavy,summer,medium
SYD,8.9,1.7,46.8,15.6,71,0,heavy,winter,medium
JFK,18.7,14.5,21.7,6.4,21,1,heavy,spring,low
BOM,4.0,1.9,44.8,32.4,49,1,light,summer,medium
LAX,42.3,7.1,27.1,22.5,42,0,light,spring,medium
NRT,2.7,2.2,3.9,3.6,37,1,light,winter,medium
DXB,37.0,2.7,47.9,22.3,66,0,light,winter,high
NRT,25.6,18.8,49.8,5.0,37,0,heavy,summer,medium
LAX,80.5,15.4,47.3,14.5,28,0,light,winter,medium
SIN,77.9,11.7,27.6,22.7,50,1,light,autumn,medium
BOM,52.5,10.1,3.2,36.0,19,0,light,spring,medium
NRT,86.6,7.3,29.7,42.2,99,1,heavy,autumn,high
BOM,42.6,2.4,30.1,28.4,13,0,light,winter,high
CDG,18.2,10.5,9.1,6.4,81,1,light,spring,low
CDG,5.0,5.2,31.3,13.3,50,0,none,autumn,medium
LAX,5.5,6.7,4.7,47.9,44,0,none,winter,medium
JFK,64.7,7.2,39.5,-9.5,58,1,none,autumn,high
LHR,98.5,11.8,28.0,-3.8,16,1,light,spring,high
JFK,72.5,6.3,25.7,33.0,63,1,heavy,summer,high
SIN,40.7,5.2,49.5,13.5,76,1,light,winter,high
NRT,64.0,8.3,41.8,38.9,43,1,heavy,spring,high
SIN,103.6,1.6,10.5,7.5,91,1,none,autumn,high
NRT,99.9,7.7,49.6,18.1,51,1,none,summer,high
FRA,75.6,1.5,5.6,32.1,70,0,light,autumn,high
NRT,76.4,4.0,0.6,10.8,18,0,heavy,winter,medium
CDG,56.1,18.2,38.8,5.3,30,1,heavy,spring,medium
LAX,119.3,7.5,5.3,-3.4,12,1,heavy,summer,high
NRT,85.3,8.2,21.1,9.4,33,1,none,summer,high
