iata,icao,name,country,callsign
1T,RNX,1Time Airline,South Africa,NEXTIME
Q5,MLA,40-Mile Air,United States,MILE-AIR
AN,AAA,Ansett Australia,Australia,ANSETT
1B,,Abacus International,Singapore,
ZI,AAF,Aigle Azur,France,AIGLE AZUR
AQ,AAH,Aloha Airlines,United States,ALOHA
AA,AAL,American Airlines,United States,AMERICAN
OZ,AAR,Asiana Airlines,Republic of Korea,ASIANA
4K,AAS,Askari Aviation,Pakistan,AL-AAS
8U,AAW,Afriqiyah Airways,Libya,AFRIQIYAH
G4,AAY,Allegiant Air,United States,ALLEGIANT
M3,TUS,ABSA - Aerolinhas Brasileiras,Brazil,ABSA Cargo
8V,ACP,Astral Aviation,Kenya,ASTRAL CARGO
8T,,Air Tindi,Canadian Territories,
ZY,ADE,Ada Air,Albania,ADA AIR
JP,ADR,Adria Airways,Slovenia,ADRIA
UX,AEA,Air Europa,Spain,EUROPA
EM,AEB,Aero Benin,Benin,AEROBEN
A3,AEE,Aegean Airlines,Greece,AEGEAN
PE,AEL,Air Europe,Italy,AIR EUROPE
KO,AER,Alaska Central Express,United States,ACE AIR
5W,AEU,Astraeus,United Kingdom,FLYSTAR
VV,AEW,Aerosvit Airlines,Ukraine,AEROSVIT
I9,AEY,Air Italy,Italy,AIR ITALY
QQ,UTY,Alliance Airlines,Australia,UNITY
FG,AFG,Ariana Afghan Airlines,Afghanistan,ARIANA
SU,AFL,Aeroflot Russian Airlines,Russia,AEROFLOT
JA,BON,Air Bosna,Bosnia and Herzegovina,AIR BOSNA
AF,AFR,Air France,France,AIRFRANS
SB,ACI,Air Caledonie International,France,AIRCALIN
2O,,Air Salone,Sierra Leone,
2Q,SNC,Air Cargo Carriers,United States,NIGHT CARGO
SW,NMB,Air Namibia,Namibia,NAMIBIA
5D,SLI,Aerolitoral,Mexico,COSTERA
7T,AGV,Air Glaciers,Switzerland,AIR GLACIERS
PL,PLI,Aeroper,Peru,Aeroperu
8A,BMM,Atlas Blue,Morocco,ATLAS BLUE
J2,AHY,Azerbaijan Airlines,Azerbaijan,AZAL
U3,AIA,Avies,Estonia,AVIES
ED,ABQ,Airblue,Pakistan,PAKBLUE
AB,BER,Air Berlin,Germany,AIR BERLIN
AI,AIC,Air India Limited,India,AIRINDIA
ZB,BUB,Air Bourbon,Reunion,BOURBON
CC,ABD,Air Atlanta Icelandic,Iceland,ATLANTA
TN,THT,Air Tahiti Nui,France,TAHITI AIRLINES
IZ,AIZ,Arkia Israel Airlines,Israel,ARKIA
JM,AJM,Air Jamaica,Jamaica,JAMAICA
AP,ADH,Air One,Italy,HERON
S2,RSH,Air Sahara,India,SAHARA
KM,AMC,Air Malta,Malta,AIR MALTA
NQ,AJX,Air Japan,Japan,AIR JAPAN
4A,AKL,Air Kiribati,Kiribati,
HP,AWE,America West Airlines,United States,CACTUS
ZW,AWI,Air Wisconsin,United States,AIR WISCONSIN
U9,TAK,Tatarstan Airlines,Russia,TATARSTAN
VD,,Air Libert,France,
QM,AML,Air Malawi,Malawi,MALAWI
BM,,Air Sicilia,Italy,
NX,AMU,Air Macau,Macao,AIR MACAO
HM,SEY,Air Seychelles,Seychelles,SEYCHELLES
AM,AMX,AeroMéxico,Mexico,AEROMEXICO
NH,ANA,All Nippon Airways,Japan,ALL NIPPON
YW,ANE,Air Nostrum,Spain,AIR NOSTRUM
PX,ANG,Air Niugini,Papua New Guinea,NUIGINI
G9,ABY,Air Arabia,United Arab Emirates,ARABIA
AC,ACA,Air Canada,Canada,AIR CANADA
BT,BTI,Air Baltic,Latvia,AIRBALTIC
EL,ANK,Air Nippon,Japan,ANK AIR
TL,ANO,Airnorth,Australia,TOPEND
4N,ANT,Air North Charter - Canada,Canada,AIR NORTH
NZ,ANZ,Air New Zealand,New Zealand,NEW ZEALAND
XM,SMX,Alitalia Express,Italy,ALIEXPRESS
GV,ARF,Aero Flight,Germany,Aero Fox
JW,APW,Arrow Air,United States,BIG A
2B,ARD,Aerocondor,Portugal,AEROCONDOR
4C,ARE,Aires, S.A., Aerovias de Integracion Regional
AR,ARG,Aerolineas Argentinas,Argentina,ARGENTINA
AS,ASA,Alaska Airlines,ALASKA, Inc.
4D,ASD,Air Sinai,Egypt,AIR SINAI
EV,ASQ,Atlantic Southeast Airlines,United States,ACEY
OB,ASZ,Astrakhan Airlines,Russia,AIR ASTRAKHAN
TC,ATC,Air Tanzania,Tanzania,TANZANIA
2J,VBW,Air Burkina,Burkina Faso,BURKINA
FO,ATM,Airlines Of Tasmania,Australia,AIRTAS
PJ,SPM,Air Saint Pierre,France,
OS,AUA,Austrian Airlines,Austria,AUSTRIAN
IQ,AUB,Augsburg Airways,Germany,AUGSBURG-AIR
MO,AUH,Abu Dhabi Amiri Flight,United Arab Emirates,SULTAN
5N,AUL,Aeroflot-Nord,Russia,DVINA
GR,AUR,Aurigny Air Services,United Kingdom,AYLINE
AU,AUT,Austral Lineas Aereas,Argentina,AUSTRAL
AV,AVA,Avianca - Aerovias Nacionales de Colombia,AVIANCA, S.A.
NF,AVN,Air Vanuatu,Vanuatu,AIR VAN
B9,BGD,Air Bangladesh,Bangladesh,AIR BANGLA
DR,BIE,Air Mediterranee,France,MEDITERRANEE
7E,AWU,Aeroline GmbH,Germany,SYLT-AIR
6G,AWW,Air Wales,United Kingdom,RED DRAGON
TX,FWI,Air Caraïbes,France,FRENCH WEST
IX,AXB,Air India Express,India,EXPRESS INDIA
XT,AXL,Air Exel,Netherlands,EXEL COMMUTER
AK,AXM,AirAsia,Malaysia,ASIAN EXPRESS
3G,AYZ,Atlant-Soyuz Airlines,Russia,ATLANT-SOYUZ
AZ,AZA,Alitalia,Italy,ALITALIA
Z8,AZN,Amaszonas,Bolivia,
UM,AZW,Air Zimbabwe,Zimbabwe,AIR ZIMBABWE
R7,OCA,Aserca Airlines,Venezuela,AROSCA
FV,SDM,Rossiya-Russian Airlines,Russia,PULKOVO
MQ,EGF,American Eagle Airlines,United States,EAGLE FLIGHT
VU,VUN,Air Ivoire,Ivory Coast,AIRIVOIRE
BP,BOT,Air Botswana,Botswana,BOTSWANA
GS,UPA,Air Foyle,United Kingdom,FOYLE
VT,VTA,Air Tahiti,French Polynesia,AIR TAHITI
VL,VIM,Air VIA,Bulgaria,
FK,WTA,Africa West,Togo,WEST TOGO
V8,VAS,ATRAN Cargo Airlines,Russian Federation,ATRAN
CA,CCA,Air China,China,AIR CHINA
Q6,CDP,Aero Condor Peru,Peru,CONDOR-PERU
CV,CVA,Air Chathams,New Zealand,CHATHAM
CW,CWM,Air Marshall Islands,Marshall Islands,AIR MARSHALLS
ZA,CYD,Access Air,United States,CYCLONE
AH,DAH,Air Algerie,Algeria,AIR ALGERIE
KI,DHI,Adam Air,Indonesia,ADAM SKY
EN,DLA,Air Dolomiti,Italy,DOLOMOTI
D9,DNV,Aeroflot-Don,Russia,DONAVIA
NM,DRD,Air Madrid,Spain,ALADA AIR
EI,EIN,Aer Lingus,Ireland,SHAMROCK
OF,FIF,Air Finland,Finland,AIR FINLAND
FJ,FJI,Air Pacific,Fiji,PACIFIC
RC,FLI,Atlantic Airways,Faroe Islands,FAROELINE
QH,FLZ,Air Florida,United States,AIR FLORIDA
NY,FXI,Air Iceland,Iceland,FAXI
2P,GAP,Air Philippines,Philippines,ORIENT PACIFIC
2U,GIP,Air Guinee Express,Guinea,FUTURE EXPRESS
GL,GRL,Air Greenland,Denmark,GREENLAND
5Y,GTI,Atlas Air,United States,GIANT
GG,GUY,Air Guyane,French Guiana,GREEN BIRD
W9,JAB,Air Bagan,Myanmar,AIR BAGAN
QK,JZA,Air Canada Jazz,Canada,JAZZ
KK,KKK,Atlasjet,Turkey,ATLASJET
JS,KOR,Air Koryo,Democratic People's Republic of Korea,AIR KORYO
KC,KZR,Air Astana,Kazakhstan,ASTANALINE
LV,LBC,Albanian Airlines,Albania,ALBANIAN
XL,LNE,Aerolane,Ecuador,LAN ECUADOR
TD,LUR,Atlantis European Airways,Armenia,
LK,LXR,Air Luxor,Portugal,AIRLUXOR
MK,MAU,Air Mauritius,Mauritius,AIRMAURITIUS
MD,MDG,Air Madagascar,Madagascar,AIR MADAGASCAR
9U,MLD,Air Moldova,Moldova,AIR MOLDOVA
A7,MPD,Air Plus Comet,Spain,RED COMET
8D,,Astair,Russian Federation,
AJ,NIG,Aero Contractors,Nigeria,AEROLINE
OT,PEL,Aeropelican Air Services,Australia,PELICAN
RE,REA,Aer Arann,Ireland,AER ARANN
UU,REU,Air Austral,France,REUNION
6K,RIT,Asian Spirit,Philippines,ASIAN SPIRIT
RK,RKA,Air Afrique,Ivory Coast,AIRAFRIC
A5,RLA,Airlinair,France,AIRLINAIR
QL,RLN,Aero Lanka,Sri Lanka,AERO LANKA
20,RNE,Air Salone,Sierra Leone,AIR SALONE
U8,RNV,Armavia,Armenia,ARMAVIA
P5,RPB,AeroRep,Colombia,AEROREPUBLICA
BF,RSR,Aero-Service,Republic of the Congo,CONGOSERV
5L,RSU,Aerosur,Bolivia,AEROSUR
Z3,SMJ,Avient Aviation,Zimbabwe,AVAVIA
R3,SYL,Aircompany Yakutia,Russia,AIR YAKUTIA
VW,TAO,Aeromar,Mexico,TRANS-AEROMAR
OR,TFL,Arkefly,Netherlands,ARKEFLY
CG,TOK,Airlines PNG,Papua New Guinea,BALUS
FL,TRS,AirTran Airways,United States,CITRUS
TS,TSC,Air Transat,Canada,TRANSAT
EC,TWN,Avialeasing Aviation Company,Uzbekistan,TWINARROW
VO,TYR,Tyrolean Airways,Austria,TYROLEAN
2K,GLG,Aerolineas Galapagos (Aerogal),Ecuador,AEROGAL
6R,DRU,Alrosa Mirny Air Enterprise,Russia,MIRNY
BA,BAW,British Airways,United Kingdom,SPEEDBIRD
