iata,icao,name,city,country,lat,lon,elevation_ft,type
WKK,,Aleknagik / New Airport,Aleknagik,US,59.2826004028,-158.617996216,66.0,medium_airport
BBQ,TAPB,Burton-Nibbs International Airport,Codrington,AG,17.621194,-61.798347,28.0,medium_airport
HIR,AGGH,Honiara International Airport,Honiara,SB,-9.428,160.054993,28.0,large_airport
MUA,AGGM,Munda Airport,Munda,SB,-8.32797,157.263,10.0,medium_airport
INU,ANYN,Nauru International Airport,Yaren,NR,-0.547893,166.919525,22.0,medium_airport
AXF,ZBAL,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,38.748317,105.58416,4560.0,medium_airport
VMU,AYBA,Baimuru Airport,Baimuru,PG,-7.496955,144.821756,27.0,medium_airport
BUA,AYBK,Buka Airport,Buka Island,PG,-5.422299,154.672698,11.0,medium_airport
OPU,AYBM,Balimo Airport,Balimo,PG,-8.05000019073,142.932998657,51.0,medium_airport
CMU,AYCH,Chimbu Airport,Kundiawa,PG,-6.024290084838867,144.9709930419922,4974.0,medium_airport
DAU,AYDU,Daru Airport,Daru,PG,-9.08676,143.207993,20.0,medium_airport
GKA,AYGA,Goroka Airport,Goronka,PG,-6.081689834590001,145.391998291,5282.0,medium_airport
GUR,AYGN,Gurney Airport,Gurney,PG,-10.3114995956,150.333999634,88.0,medium_airport
PNP,AYGR,Girua Airport,Popondetta,PG,-8.80453968048,148.309005737,311.0,medium_airport
HKN,AYHK,Hoskins Airport,Kimbe,PG,-5.463846,150.407327,66.0,medium_airport
KMA,AYKM,Kerema Airport,Kerema,PG,-7.96361017227,145.770996094,10.0,medium_airport
KVG,AYKV,Kavieng Airport,Kavieng,PG,-2.57940006256,150.807998657,7.0,medium_airport
MAG,AYMD,Madang Airport,Madang,PG,-5.20707988739,145.789001465,20.0,medium_airport
HGU,AYMH,Mount Hagen Kagamuga Airport,Mount Hagen,PG,-5.828212,144.299412,5388.0,medium_airport
MDU,AYMN,Mendi Airport,Mendi,PG,-6.14774,143.656998,5680.0,medium_airport
MAS,AYMO,Momote Airport,Manus Island,PG,-2.06189,147.423996,12.0,medium_airport
LAE,AYNZ,Nadzab Tomodachi International Airport,Lae,PG,-6.567995,146.726544,239.0,large_airport
POM,AYPY,Port Moresby Jacksons International Airport,Port Moresby,PG,-9.44338035583496,147.22000122070312,146.0,large_airport
RAB,AYTK,Tokua Airport,Kokopo,PG,-4.34046,152.380005,49.0,medium_airport
VAI,AYVN,Vanimo Airport,Vanimo,PG,-2.6926,141.3028,10.0,medium_airport
WBM,AYWD,Wapenamanda Airport,Wapenamanda,PG,-5.635293,143.892231,5889.0,medium_airport
WWK,AYWK,Wewak International Airport,Wewak,PG,-3.58383011818,143.669006348,19.0,medium_airport
JEG,BGAA,Aasiaat Airport,Aasiaat,GL,68.721802,-52.784698,74.0,medium_airport
CNP,BGCO,Neerlerit Inaat Airport,Neerlerit Inaat,GL,70.743103,-22.650499,45.0,medium_airport
GOH,BGGH,Nuuk International Airport,Nuuk,GL,64.191066,-51.67914,283.0,large_airport
JAV,BGJN,Ilulissat Airport,Ilulissat,GL,69.243202,-51.057098,95.0,medium_airport
KUS,BGKK,Kulusuk Airport,Kulusuk,GL,65.573601,-37.1236,117.0,medium_airport
NAQ,BGQQ,Qaanaaq Airport,Qaanaaq,GL,77.488602,-69.388702,51.0,medium_airport
SFJ,BGSF,Kangerlussuaq International Airport,Kangerlussuaq,GL,67.010446,-50.715294,165.0,medium_airport
JHS,BGSS,Sisimiut Airport,Sisimiut,GL,66.951302,-53.729301,33.0,medium_airport
THU,BGTL,Pituffik Space Base,Pituffik,GL,76.53063,-68.700541,251.0,medium_airport
AEY,BIAR,Akureyri International Airport,Akureyri,IS,65.656573,-18.072018,6.0,large_airport
EGS,BIEG,Egilsstaðir Airport,Egilsstaðir,IS,65.2833023071289,-14.401399612426758,76.0,medium_airport
GRY,BIGR,Grímsey Airport,Grímsey/Sandvík,IS,66.5458,-18.0173,66.0,medium_airport
HFN,BIHN,Hornafjörður Airport,Höfn,IS,64.295601,-15.2272,24.0,medium_airport
IFJ,BIIS,Ísafjörður Airport,Ísafjörður,IS,66.058098,-23.1353,8.0,medium_airport
KEF,BIKF,Keflavik International Airport,Reykjavík,IS,63.985001,-22.6056,171.0,large_airport
RKV,BIRK,Reykjavík Domestic Airport,Reykjavík,IS,64.128732,-21.93759,48.0,medium_airport
VPN,BIVO,Vopnafjörður Airport,Vopnafjörður,IS,65.720596,-14.8506,16.0,medium_airport
PRN,BKPR,Priština Adem Jashari International Airport,Prishtina,XK,42.5728,21.035801,1789.0,large_airport
VDC,SBVC,Glauber de Andrade Rocha Airport,Vitória da Conquista,BR,-14.907885,-40.914804,2940.0,medium_airport
CUK,MZCK,Caye Caulker Airport,Caye Caulker,BZ,17.735015,-88.032862,2.0,medium_airport
CYC,MZCP,Caye Chapel Airport,Caye Chapel,BZ,17.683792,-88.044985,3.0,medium_airport
CZH,MZCZ,Corozal Airport,Corozal,BZ,18.3822,-88.411903,40.0,medium_airport
DGA,MZPB,Dangriga Airport,Dangriga,BZ,16.98251,-88.230988,10.0,medium_airport
SPR,MZSP,John Greif II Airport,San Pedro,BZ,17.9139,-87.9711,4.0,medium_airport
TZA,MZBE,Sir Barry Bowen Municipal Airport,Belize City,BZ,17.517239,-88.195775,8.0,medium_airport
YAA,,Anahim Lake Airport,Anahim Lake,CA,52.451501,-125.303776,3635.0,medium_airport
XQU,,Qualicum Beach Airport,Qualicum Beach,CA,49.337456,-124.393086,191.0,medium_airport
ZEL,CBBC,Bella Bella (Campbell Island) Airport,Bella Bella,CA,52.185001,-128.156994,141.0,medium_airport
BZX,ZUBZ,Bazhong Enyang Airport,Bazhong,CN,31.73842,106.644872,1804.0,medium_airport
HSC,ZGSG,Shaoguan Danxia Airport,Shaoguan,CN,24.9786,113.420998,280.0,medium_airport
JGS,ZSGS,Jinggangshan Airport,Ji'an,CN,26.856899,114.737,281.0,medium_airport
JNH,ZSJX,Jiaxing Nanhu Airport,"Xiuzhou, Hangzhou",CN,30.698056,120.663056,15.0,medium_airport
DDR,ZUDR,Shigatse Tingri Airport,Xigazê (Dingri),CN,28.604567,86.798,14108.0,medium_airport
HQL,ZWTK,Tashikuergan Hongqilafu Airport,Tashikuergan,CN,37.661333,75.288877,10499.0,medium_airport
LSG,,Leshan Airport,Leshan (Wutongqiao),CN,29.438627,103.749218,1189.0,medium_airport
ZAT,ZPZT,Zhaotong Zhaoyang Airport,Zhaotong,CN,27.205843,103.691511,,medium_airport
BFY,ZSBA,Bengbu Tenghu Airport,Bengbu,CN,33.166292,117.058344,,medium_airport
YAG,CYAG,Fort Frances Municipal Airport,Fort Frances,CA,48.655749,-93.44349,1125.0,medium_airport
YAM,CYAM,Sault Ste Marie Airport,Sault Ste Marie,CA,46.483216,-84.508467,630.0,medium_airport
XKS,CYAQ,Kasabonika Airport,Kasabonika,CA,53.52470016479492,-88.6427993774414,672.0,medium_airport
YAY,CYAY,St. Anthony Airport,St. Anthony,CA,51.391909,-56.08321,108.0,medium_airport
YAZ,CYAZ,Tofino / Long Beach Airport,Tofino,CA,49.079833,-125.775583,80.0,medium_airport
YBC,CYBC,Baie-Comeau Airport,Baie-Comeau,CA,49.1325,-68.204399,71.0,medium_airport
QBC,CYBD,Bella Coola Airport,Bella Coola,CA,52.387501,-126.596001,117.0,medium_airport
YBY,CYBF,Bonnyville Airport,Bonnyville,CA,54.304199,-110.744003,1836.0,medium_airport
YBG,CYBG,Saguenay-Bagotville Airport,Saguenay,CA,48.330123,-70.992012,522.0,medium_airport
YBK,CYBK,Baker Lake Airport,Baker Lake,CA,64.29889678960001,-96.077796936,59.0,medium_airport
YBL,CYBL,Campbell River Airport,Campbell River,CA,49.950802,-125.271004,346.0,medium_airport
YBR,CYBR,Brandon Municipal Airport,Brandon,CA,49.91,-99.951897,1343.0,medium_airport
YBX,CYBX,Lourdes-de-Blanc-Sablon Airport,Blanc-Sablon,CA,51.4436,-57.185299,121.0,medium_airport
YCB,CYCB,Cambridge Bay Airport,Cambridge Bay,CA,69.1081008911,-105.138000488,90.0,medium_airport
YCD,CYCD,Nanaimo Airport,Nanaimo,CA,49.05497,-123.869863,92.0,medium_airport
YCG,CYCG,Castlegar/West Kootenay Regional Airport,Castlegar,CA,49.296398,-117.632004,1624.0,medium_airport
YCL,CYCL,Charlo Airport,Charlo,CA,47.990799,-66.330299,132.0,medium_airport
YDA,CYDA,Dawson City Airport,Dawson City,CA,64.04309844970703,-139.1280059814453,1215.0,medium_airport
YDF,CYDF,Deer Lake Airport,Deer Lake,CA,49.208159,-57.396147,72.0,medium_airport
